Location_id,StreetAddress,City,StateFull,ZipCode
1,4019 Stoneybrook Road,Longwood,Florida,32750
2,4412 Pearlman Avenue,Lawrence,Massachusetts,01840
3,4174 Brownton Road,Duncan,Mississippi,38740
4,264 Ocala Street,Winter Park,Florida,32789
5,3856 West Drive,Chicago,Illinois,60610
6,3746 Gladwell Street,Sherman,Texas,75090
7,3953 Hickory Ridge Drive,Las Vegas,Nevada,89109
8,546 Pennsylvania Avenue,Red Bank,New Jersey,07701
9,61 Pike Street,La Jolla,California,92037
10,3202 Harvest Lane,Amoret,Missouri,64722
11,1550 East Avenue,Chandler,Arizona,85225
12,4536 Rubaiyat Road,Grand Rapids,Michigan,49508
13,742 Front Street,Port Huron,Michigan,48060
14,3490 Hart Street,Middletown,Connecticut,06457
15,3517 Commerce Boulevard,Carroll,Nebraska,68723
16,2224 Williams Avenue,Newhall,California,91321
17,4841 Westfall Avenue,Albuquerque,New Mexico,87114
18,2725 Shadowmar Drive,Metairie,Louisiana,70001
19,14 Quarry Drive,Lafayette,Alabama,36862
20,3874 Ash Avenue,Saint Louis,Missouri,63108
21,3801 Callison Lane,Philadelphia,Delaware,19103
22,1675 Williams Mine Road,Rochelle Park,New Jersey,07662
23,4684 Fairmont Avenue,Leavenworth,Missouri,66048
24,4457 Burwell Heights Road,Beaumont,Texas,77701
25,4919 Oakmound Drive,Chicago,Illinois,60603
26,2975 Boundary Street,Jacksonville,Florida,32218
27,4207 Hoffman Avenue,New York,New York,10007
28,1890 Spirit Drive,Ormond Beach,Florida,32174
29,1162 Bee Street,Manton,Michigan,49663
30,3195 Bombardier Way,Worthington,Ohio,43085
31,1514 Ocala Street,Orlando,Florida,32810
32,3625 Retreat Avenue,Smithfield,Maine,04978
33,2312 Armory Road,Maysville,North Carolina,28555
34,3424 Charmaine Lane,Amarillo,Texas,79101
35,1609 Roosevelt Street,San Francisco,California,94105
36,3344 Park Street,Pleasanton,California,94566
37,1400 Mercer Street,Woodville,Wisconsin,54028
38,2088 Dancing Dove Lane,Long Island City,New York,11101
39,2108 Wiseman Street,Knoxville,Tennessee,37902
40,924 Collins Avenue,Dublin,Ohio,43017
41,4268 North Bend River Road,Evarts,Kentucky,40828
42,3333 Leverton Cove Road,Chesterfield,Massachusetts,01012
43,4959 Pick Street,Mountain View,Colorado,82939
44,282 Blackwell Street,Anchorage,Alaska,99503
45,4804 Cambridge Place,Salisbury,Maryland,21801
46,4187 Foley Street,Ft Lauderdale,Florida,33311
47,3566 Giraffe Hill Drive,Irving,Texas,75062
48,4927 Hiney Road,Las Vegas,Nevada,89109
49,709 Reeves Street,Two Rivers,Wisconsin,54241
50,1923 Deer Haven Drive,Greenville,South Carolina,29601
51,1394 Copperhead Road,Southington,Connecticut,06489
52,1541 Brannon Street,City Of Commerce,California,90040
53,2309 Glen Falls Road,Philadelphia,Pennsylvania,19104
54,814 Bridge Street,Tulsa,Oklahoma,74120
55,4997 Small Street,New York,New York,10025
56,2778 Wiseman Street,Knoxville,Tennessee,37902
57,1583 Sunny Day Drive,Los Angeles,California,90017
58,4708 Hoffman Avenue,New York,New York,10013
59,4819 Tennessee Avenue,Troy,Michigan,48083
60,2319 Kemper Lane,Salt Lake City,Utah,84104
61,652 Trouser Leg Road,Ware,Massachusetts,01082
62,2010 Capitol Avenue,New Castle,Indiana,47362
63,4195 Lake Floyd Circle,Hagerstown,Maryland,21740
64,3313 Sun Valley Road,Davenport,Washington,99122
65,2709 Ripple Street,Saginaw,Michigan,48607
66,1566 Woodrow Way,Huntsville,Texas,77340
67,4035 Johnny Lane,Milwaukee,Wisconsin,53211
68,30 Swick Hill Street,Metairie,Louisiana,70001
69,4157 Pheasant Ridge Road,Jenkintown,Pennsylvania,19046
70,2438 Marigold Lane,Coral Gables,Florida,33134
71,1612 Virgil Street,Tallahassee,Florida,32301
72,261 Dancing Dove Lane,Whitestone,New York,11357
73,3983 Spinnaker Lane,Dekalb,Illinois,60115
74,1634 Oakway Lane,Irvine,California,92618
75,4013 Williams Lane,Wichita,Kansas,67226
76,3725 Ryan Road,Crooks,South Dakota,57020
77,1919 Alexander Avenue,San Rafael,California,94901
78,1996 Point Street,Hickory Hills,Illinois,60457
79,4916 Long Street,Ocala,Florida,34471
80,220 Winding Way,West Warwick,Rhode Island,02893
81,925 Eden Drive,Richmond,Virginia,23220
82,3568 Hartland Avenue,Brookfield,Wisconsin,53005
83,2513 Illinois Avenue,Oregon City,Oregon,97045
84,1791 Carriage Lane,Sugar Notch,Pennsylvania,18706
85,3989 Red Bud Lane,Teterboro,New Jersey,07608
86,4204 Philadelphia Avenue,Salt Lake City,Utah,84111
87,14 Blackwell Street,Port Lions,Alaska,99550
88,193 Hedge Street,Newark,New Jersey,07102
89,3499 Spadafore Drive,Altoona,Pennsylvania,16601
90,3236 Chicago Avenue,Hanford,California,93230
91,791 Harley Brook Lane,Meyersdale,Pennsylvania,15552
92,1600 Peck Street,Fryeburg,New Hampshire,04037
93,238 Red Bud Lane,Windsor,Connecticut,06095
94,1436 West Drive,Chicago,Illinois,60606
95,816 Broad Street,Cordova,Alabama,35550
96,3950 Gregory Lane,Louisville,Kentucky,40299
97,1630 Stuart Street,Coraopolis,Pennsylvania,15108
98,2738 Sycamore Lake Road,Green Bay,Wisconsin,54303
99,2803 Shadowmar Drive,Metairie,Louisiana,70001
100,734 Wetzel Lane,Grand Rapids,Michigan,49503
101,830 Bruce Street,Ferguson,Missouri,63135
102,1319 Holly Street,Charlotte,North Carolina,28209
103,1952 Joy Lane,Burbank,California,91502
104,1565 Tetrick Road,Tampa,Florida,33624
105,4959 Liberty Avenue,Irvine,California,92664
106,2057 Rivendell Drive,Barberton,Ohio,44203
107,1159 Maple Lane,Huntsville,Alabama,35816
108,1261 Hillcrest Circle,Princeton,Minnesota,55371
109,2608 Lucky Duck Drive,Mc Kees Rocks,Pennsylvania,15136
110,4960 Michael Street,Houston,Texas,77006
111,2269 College View,Livingston,Illinois,62058
112,4627 Dane Street,Loomis,Washington,98827
113,2119 Hill Croft Farm Road,Brockway,California,95730
114,4308 Scenicview Drive,Midland,Texas,79701
