manufacturer_id,manufacturer
1000000,Hornby
1000001,FunkyBuys
1000002,ccf
1000003,Hornby
1000004,Hornby
1000005,Generic
1000006,Hornby
1000007,Hornby
1000008,Hornby
1000009,Chuggington
1000010,Hornby
1000011,Kato (USA)
1000012,Bachmann
1000013,Hornby
1000014,Kato
1000015,Kato
1000016,Power Trains
1000017,Chuggington
1000018,Kato
1000019,Bachmann
1000020,Preiser
1000021,Preiser
1000022,Bachmann
1000023,Takara Tomy
1000024,Roco
1000025,Chuggington
1000026,Takara Tomy
1000027,Fisher-Price
1000028,Hornby
1000029,Gaugemaster
1000030,Hornby
1000031,Fisher-Price
1000032,Faller
1000033,Topro
1000034,Bachmann
1000035,Kato
1000036,Hornby
1000037,Dapol
1000038,Faller
1000039,Hornby
1000040,Ratio
1000041,Kato
1000042,ARSUK
1000043,Trix
1000044,Dapol
1000045,Takara Tomy
1000046,Power Trains
1000047,Hornby
1000048,RAILWAY - BACHMANN
1000049,Kato
1000050,Busch
1000051,Piko
1000052,Hornby
1000053,Faller
1000054,Corgi
1000055,Bachmann
1000056,Kato
1000057,Gaugemaster
1000058,Dapol
1000059,Sohni-Wicke
1000060,Hornby
1000061,Piko
1000062,Train Tech
1000063,Kato
1000064,Hornby
1000065,Hornby
1000066,Hornby
1000067,Roco
1000068,CATO
1000069,Dapol
1000070,Hornby
1000071,POWER CITY TRAINS
1000072,Train
1000073,Train Tech
1000074,Kato
1000075,Bachmann
1000076,Piko
1000077,Dapol
1000078,Ratio
1000079,Piko
1000080,Hornby
1000081,Sales La
1000082,Dapol
1000083,Corgi
1000084,Märklin my world
1000085,Bachmann
1000086,Mattel
1000087,Generic
1000088,Hornby
1000089,Hornby
1000090,Chuggington
1000091,Hornby
1000092,Hornby
1000093,Graham Farish
1000094,RAILWAY - BACHMANN
1000095,Hornby
1000096,Ratio
1000097,Hornby
1000098,Chuggington
1000099,Power Trains
1000100,Carousel
1000101,Hornby
1000102,Piko
1000103,Hornby
1000104,Trix
1000105,Peptim Scenics
1000106,Learning Curve
1000107,Walthers Trainline
1000108,Preiser
1000109,Kato
1000110,Woodland Scenics
1000111,Hornby
1000112,Hornby
1000113,Ratio
1000114,Roco
1000115,Kato
1000116,RAILWAY - BACHMANN
1000117,Kato
1000118,Peco
1000119,Hornby
1000120,Hornby
1000121,ARSUK
1000122,Dapol
1000123,Hornby
1000124,Corgi
1000125,Power Trains
1000126,Fisher Price
1000127,Hornby
1000128,Kato
1000129,Generic
1000130,Dapol
1000131,Hornby
1000132,Hornby
1000133,Hornby
1000134,Bachmann
1000135,Faller
1000136,Power Trains
1000137,Hornby
1000138,Jouef
1000139,Bachmann
1000140,Bachmann
1000141,Thomas & Friends
1000142,Trix
1000143,Kato
1000144,RAILWAY - BACHMANN
1000145,Preiser
1000146,Takara Tomy
1000147,Corgi
1000148,Hornby
1000149,Plan Toys
1000150,Hornby
1000151,Dapol
1000152,Dapol
1000153,Bandai
1000154,Dapol
1000155,Atlas
1000156,Hornby
1000157,Plan Toys
1000158,Generic
1000159,Corgi
1000160,Hornby
1000161,Hornby
1000162,NMIT
1000163,RAILWAY - BACHMANN
1000164,Hornby
1000165,Hornby
1000166,Viessmann
1000167,Tommy Tech
1000168,Hornby
1000169,Hornby
1000170,Model Power
1000171,Gaugemaster
1000172,Hornby
1000173,Micki Leksaker
1000174,LELIN
1000175,Hornby
1000176,Peco
1000177,Hornby
1000178,Kato
1000179,Hornby
1000180,Roco
1000181,Hornby
1000182,Busch
1000183,Kato
1000184,Bachmann N Gauge
1000185,Märklin
1000186,Tomytec
1000187,Hornby
1000188,Kato
1000189,Fisher Price
1000190,Hornby
1000191,Kato
1000192,Hornby
1000193,Bigjigs Rail
1000194,Hornby
1000195,Trains
1000196,Kato
1000197,Kato
1000198,Tomy
1000199,Smasha-Ballz
1000200,Moomins
1000201,Paddington Bear
1000202,Charlie Bears
1000203,Yoohoo & Friends
1000204,Monchhichi
1000205,Aurora
1000206,The Puppet Company
1000207,Ty
1000208,Henry Hugglemonster
1000209,Melissa & Doug
1000210,Animal Babies
1000211,Olympic Mascots
1000212,Aurora
1000213,Suma Collection
1000214,Whitehouse Leisure
1000215,Me To You
1000216,Creative Toys
1000217,Marvel
1000218,Squishable
1000219,Roadkill Toys
1000220,Talking Friends
1000221,Ty
1000222,Aurora
1000223,Unknown
1000224,L'Atitude
1000225,MBNF
1000226,Teddy Mountain
1000227,TY~BEANIE BEARS
1000228,Pokemon Center
1000229,Webkinz
1000230,Banpresto
1000231,Wild Republic
1000232,Me To You
1000233,Ty UK Ltd
1000234,ENESCO
1000235,Steiff
1000236,Star Wars
1000237,Squishable
1000238,TheWorks
1000239,Webkinz
1000240,Living Nature
1000241,Golden Bear
1000242,Disney
1000243,Ben & Holly
1000244,Paw Patrol
1000245,Teddy Hermann
1000246,Cepia
1000247,Me To You
1000248,Webkinz
1000249,Claire's
1000250,Me To You
1000251,Vivid Imaginations
1000252,ukgiftstoreonline
1000253,White Lab Mouse
1000254,Me To You
1000255,Lil Kinz
1000256,Aurora
1000257,Steiff
1000258,Hansa
1000259,TY~BEANIES ANIMALS
1000260,Steiff
1000261,Ty
1000262,Ty
1000263,Warmhearts Fully Microwavable
1000264,Shopzeus
1000265,Keel Toys
1000266,Beanie Boos
1000267,Doodle Jump
1000268,Pokémon
1000269,Bluw
1000270,My Blue Nose Friends
1000271,KingcooTech
1000272,ty beanie
1000273,Pokémon
1000274,Ty
1000275,Little Buddy
1000276,Steiff
1000277,Ravensden
1000278,IBTT
1000279,Melissa & Doug
1000280,Shopzeus
1000281,Keel Toys
1000282,Yoo Hoo
1000283,Cuddlekins
1000284,Little Buddy
1000285,TY~COUNTRY EXCLUSIVES
1000286,Fisher-Price
1000287,Build your Bears Wardrobe
1000288,ThinkGeek
1000289,Sanei
1000290,"Minnie Mouse, Mad about Minnie"
1000291,Plants vs Zombies
1000292,Beanie Boos
1000293,London Teddy Bears
1000294,PTS
1000295,TY~BEANIES CATS
1000296,Dowman
1000297,Hansa
1000298,Be My Bear
1000299,Titan Merchandise
1000300,Ty
1000301,Steiff
1000302,Steiff
1000303,Beanie Babies
1000304,TY~BEANIES DOGS
1000305,Steiff
1000306,TY~BEANIES DOGS
1000307,Zigamazoo
1000308,Keel Toys
1000309,Disney
1000310,Manhattan Toy
1000311,Charlie Bears
1000312,Sun Arrow
1000313,MINIONS
1000314,Beanies
1000315,Keel Toys
1000316,Miyoni
1000317,Generic
1000318,Me To You
1000319,Disney
1000320,Ravensden
1000321,Jazwares
1000322,Harrods
1000323,"PILLOW PET 1 DIRECTION PINK PUPPY 18"""
1000324,GE Entertainment
1000325,Manhattan Toy
1000326,Angry Birds
1000327,Personalised Bears and Rag Dolls
1000328,Yao
1000329,Ty
1000330,Beanie Babies
1000331,Jelly Cat
1000332,Webkinz
1000333,FunKo
1000334,Smasha-Ballz
1000335,Snoopy
1000336,Squishable
1000337,Aurora My Little Pony
1000338,Steiff
1000339,TY~BABY RANGE INCLUDING PLUFFIES
1000340,Charlie Bears
1000341,Gund
1000342,Dempsey Designs Minicraft
1000343,Ravensden
1000344,Mickey Mouse
1000345,Webkinz
1000346,Jet Creations
1000347,Pluto
1000348,Shopzeus
1000349,Dear Zoo
1000350,TY~HALLOWEEN BEANIES
1000351,TY~BEANIES CATS
1000352,Great Eastern Entertainment
1000353,McDonalds Happy Meal Toy
1000354,Pokémon
1000355,Soft Toy
1000356,APC
1000357,Me To You
1000358,Me To You
1000359,Glitzy Jewels
1000360,Sanei
1000361,Aurora
1000362,TBEN
1000363,Shopzeus
1000364,Latitude Enfant
1000365,MINIONS
1000366,Apples to Pears
1000367,Keel Toys
1000368,Animagic
1000369,Steiff
1000370,Build your Bears Wardrobe
1000371,Ganz USA LLC
1000372,Hansa
1000373,Ty
1000374,Huggle Buddies
1000375,Teddy Hermann
1000376,Yao Design
1000377,Wild Republic
1000378,Andy's
1000379,Teddy Mountain
1000380,TY~BEANIES BIRDS
1000381,Steiff
1000382,Nici
1000383,Shopzeus
1000384,Ty
1000385,Disney
1000386,Beanie Buddies
1000387,Amscan
1000388,Nici
1000389,Shopzeus
1000390,Hasbro
1000391,Schmidt
1000392,How to Train Your Dragon
1000393,Disney
1000394,Melissa & Doug
1000395,Ty
1000396,DC Comics
1000397,Steiff
1000398,Ayumi
1000399,Pintoy
1000400,Poly Dice Sets
1000401,Q-Workshop
1000402,Forlorn Hope Games
1000403,Poly Dice Sets
1000404,LCR
1000405,"Chavet, Chavet"
1000406,Hasbro
1000407,The Dice Place
1000408,Oblivion
1000409,Privateer Press
1000410,BigCherry
1000411,Chessex
1000412,Dice World
1000413,Jaques of London
1000414,Q-Workshop
1000415,The Dice Place
1000416,Q-Workshop
1000417,Forlorn Hope Games
1000418,WizKids
1000419,Forlorn Hope Games
1000420,Smartdealspro
1000421,The Dice Place
1000422,Ultra Pro
1000423,Cracker kit fillers
1000424,Q-Workshop
1000425,The Dice Place
1000426,Bicycle
1000427,The Dice Place
1000428,SMART SHOPPING
1000429,Forlorn Hope Games
1000430,Gamewright
1000431,Jesters
1000432,The Dice Place
1000433,Asmodée
1000434,8
1000435,Hutter Trade GmbH + Co KG
1000436,Kent & Cleal
1000437,Q-Workshop
1000438,pocketgames
1000439,Learning Resources
1000440,Witzigs
1000441,The Dice Place
1000442,Traditional Games
1000443,Dice
1000444,Chessex
1000445,Q-Workshop
1000446,Bigjigs Toys
1000447,Q-Workshop
1000448,Rory's Story Cubes
1000449,Smartdealspro
1000450,WHATWEARS
1000451,Smartdealspro
1000452,BigCherry
1000453,Chessex
1000454,Pocket dice games
1000455,Poly Dice Sets
1000456,MY
1000457,Chessex
1000458,Unbeatable Games
1000459,Drumond Park
1000460,The Creativity Hub
1000461,RoyaltyRoute
1000462,Smartdealspro
1000463,Backspindle Games
1000464,Q-Workshop
1000465,Steve Jackson Games
1000466,Chessex
1000467,Q-Workshop
1000468,Kent & Cleal
1000469,GRAHAM'S GAMES
1000470,Opaque
1000471,Chessex
1000472,Q-Workshop
1000473,Q-Workshop
1000474,Forlorn Hope Games
1000475,Amscan
1000476,Left Center Right
1000477,Smartdealspro
1000478,Q-Workshop
1000479,Front Porch
1000480,The Dice Place
1000481,Chessex
1000482,Rory's Story Cubes
1000483,Rory's Story Cubes
1000484,Patch Products Inc.
1000485,Crossword
1000486,Tarquin Group
1000487,Amscan
1000488,Bristol Novelties
1000489,Forlorn Hope Games
1000490,Kent & Cleal
1000491,Galt Toys
1000492,WHATWEARS
1000493,Dice
1000494,Dice
1000495,Q-Workshop
1000496,Rio Grande Games
1000497,Days of Wonder
1000498,Dice
1000499,Q-Workshop
1000500,Q-Workshop
1000501,Koplow Games
1000502,TGO
1000503,David Westnedge Games
1000504,Q-Workshop
1000505,Galt Toys
1000506,Q-Workshop
1000507,Forlorn Hope Games
1000508,Q-Workshop
1000509,TheWorks
1000510,Rory Story Cubes
1000511,BigCherry
1000512,Forlorn Hope Games
1000513,pocketgames
1000514,Oblivion
1000515,Q-Workshop
1000516,Bulk Dice
1000517,Chessex
1000518,Evil Hat Productions
1000519,kitsch
1000520,Smartdealspro
1000521,A to Z
1000522,Bigjigs Toys
1000523,Q-Workshop
1000524,Q-Workshop
1000525,BOGGLE
1000526,Hasbro
1000527,Q-Workshop
1000528,Q-Workshop
1000529,Q-Workshop
1000530,Q-Workshop
1000531,Generic
1000532,Smartdealspro
1000533,Q-Workshop
1000534,The Dice Place
1000535,Jaques of London
1000536,Tarquin Group
1000537,Cultzilla
1000538,Backspindle Games Limited
1000539,ShalinIndia
1000540,Dude Dice
1000541,BigCherry
1000542,Pocket dice games
1000543,Forlorn Hope Games
1000544,Schmidt
1000545,University Games
1000546,Q-Workshop
1000547,Chessex
1000548,Jesters
1000549,Renegade Game Studios
1000550,Base
1000551,Re:creation Group Plc
1000552,Tarquin
1000553,Q-Workshop
1000554,Hutter Trade GmbH + Co KG
1000555,West5Products
1000556,Dude Dice
1000557,Q-Workshop
1000558,Pocket dice games
1000559,Forlorn Hope Games
1000560,David Westnedge
1000561,Q-Workshop
1000562,Chessex
1000563,BOGGLE
1000564,Patch Products Inc.
1000565,Chessex
1000566,Queen Games
1000567,Chessex
1000568,Oblivion
1000569,Tenzi
1000570,Opaque
1000571,Think Fun
1000572,Oblivion
1000573,Polyhedral
1000574,Q-Workshop
1000575,Tarquin
1000576,George
