1000000,Hornby,480-960-1219,6337 Roxbury Lane,Kuala Lumpur,4,12-Apr-13
1000001,FunkyBuys,935-985-3079,205 Portage Road,Kebonkaret,248,4-Feb-14
1000002,ccf,151-398-6088,6424 Fallview Junction,Fayaoué,8,30-Dec-15
1000003,Hornby,407-376-1847,5 Kinsman Hill,Yuecheng,12,26-Feb-16
1000004,Hornby,857-554-3175,0879 Kennedy Park,Marseille,16,27-Oct-15
1000005,Generic,580-724-7201,90908 Starling Way,Jatibonico,20,17-Sep-13
1000006,Hornby,465-821-9520,3676 Mariners Cove Road,Chaves,24,27-Dec-16
1000007,Hornby,571-775-7733,993 Arkansas Street,Iwai,660,19-Nov-15
1000008,Hornby,309-209-6181,7 Gerald Park,Praia Grande,28,12-Nov-15
1000009,Chuggington,724-879-7864,3 Banding Drive,Mendefera,32,13-Jan-16
1000010,Hornby,637-227-2424,9197 Lakeland Place,Campbellton,51,24-Sep-15
1000011,Kato (USA),616-276-9773,3 Troy Hill,Lameira,533,29-Apr-17
1000012,Bachmann,821-720-2040,2230 Eastwood Drive,Ingeniero Guillermo N. Juárez,36,4-Apr-17
1000013,Hornby,237-444-2034,998 Nova Point,Ülken,40,7-Jun-14
1000014,Kato,769-745-2043,4 Haas Junction,Otlja,31,17-Jul-17
1000015,Kato,387-378-5849,13 Stuart Crossing,Hoçisht,44,15-Nov-16
1000016,Power Trains,206-923-4673,3528 Hoard Place,Chaiwan,48,19-Oct-13
1000017,Chuggington,810-988-1225,03222 Blackbird Road,Oranmore,50,31-Oct-17
1000018,Kato,322-995-9504,56 Esker Street,Mników,52,22-Apr-13
1000019,Bachmann,120-396-5484,4813 Bunker Hill Drive,Warlubie,112,16-Dec-15
1000020,Preiser,495-581-9921,825 1st Hill,Norrköping,56,8-Apr-15
1000021,Preiser,152-934-0027,23505 Del Mar Point,Tuscaloosa,84,2-Jul-16
1000022,Bachmann,737-337-3940,6 8th Point,Mutis,204,4-Mar-17
1000023,Takara Tomy,941-536-9721,76 Mendota Avenue,Enewetak,60,12-Aug-13
1000024,Roco,647-574-8383,31932 Annamark Pass,Nueve de Julio,64,25-Sep-16
1000025,Chuggington,991-762-8042,724 Grim Drive,Puente Nacional,68,27-Jan-17
1000026,Takara Tomy,591-518-9639,9 Eagan Court,Zunilito,535,20-Aug-14
1000027,Fisher-Price,152-185-1260,506 Esch Point,Mtsensk,70,21-Feb-13
1000028,Hornby,114-109-0906,03 Cherokee Place,Sélestat,72,28-Sep-15
1000029,Gaugemaster,810-982-1418,90846 Loftsgordon Place,Al Ain,76,25-May-17
1000030,Hornby,662-575-7745,5 Moland Point,Las Palmas,92,11-Apr-13
1000031,Fisher-Price,971-638-9801,958 Meadow Vale Pass,Shache,96,30-Nov-15
1000032,Faller,511-824-5060,1 Eggendart Plaza,Wola Jachowa,100,5-Jan-14
1000033,Topro,342-347-5523,0 Sycamore Terrace,Changxuanling,854,24-Oct-15
1000034,Bachmann,150-365-4515,62180 Harper Plaza,Krasnogorodskoye,108,4-Feb-13
1000035,Kato,218-107-0956,33 Miller Circle,Dongtang,116,11-Feb-13
1000036,Hornby,861-803-7227,4 Anderson Alley,Muslyumovo,120,28-Feb-14
1000037,Dapol,757-771-1609,6 David Pass,Dulian,124,24-Aug-13
1000038,Faller,835-108-8250,939 Northview Point,Orlândia,132,8-Jun-15
1000039,Hornby,598-957-1461,765 Meadow Vale Drive,Costeira do Pirajubae,136,25-Apr-13
1000040,Ratio,707-824-6725,5 Artisan Avenue,Bharatpur,140,17-May-16
1000041,Kato,859-608-0582,57 Melody Drive,Huozhuangzi,148,12-Mar-16
1000042,ARSUK,998-967-7637,34 Orin Place,Caocun,830,30-Aug-16
1000043,Trix,594-907-8149,1 Northland Terrace,Lemery,152,14-Dec-15
1000044,Dapol,236-885-8163,16704 Basil Pass,Lom Sak,156,4-Jul-14
1000045,Takara Tomy,787-151-4313,1322 Transport Circle,Colorado Springs,344,31-Dec-14
1000046,Power Trains,105-425-1368,43 Stoughton Terrace,Jatinagara Kulon,446,28-Aug-13
1000047,Hornby,986-468-4002,08993 Park Meadow Plaza,Miaofengshan,170,25-Jul-17
1000048,RAILWAY - BACHMANN,300-869-1560,62 Pleasure Crossing,Zhongxing,174,25-Jan-13
1000049,Kato,832-629-0940,40217 Iowa Terrace,Xuwei,178,7-Oct-17
1000050,Busch,386-489-8993,487 Manufacturers Terrace,Debre Tabor,184,3-Jul-13
1000051,Piko,794-514-8719,5333 Vernon Road,Soljani,188,28-Dec-14
1000052,Hornby,666-279-4903,64458 Fallview Circle,Mafinga,384,20-Jul-17
1000053,Faller,879-306-7807,3 Blaine Lane,Antioquia,191,13-Jul-13
1000054,Corgi,314-291-7796,24 Bunting Way,Petaling Jaya,192,15-Oct-17
1000055,Bachmann,688-355-1499,99692 Bartillon Drive,?magari,531,18-Jun-16
1000056,Kato,508-765-2479,29 Roxbury Crossing,Aghavnatun,196,4-Oct-16
1000057,Gaugemaster,263-361-5782,82808 Spohn Point,Oslo,203,22-Dec-15
1000058,Dapol,764-344-6845,124 Basil Junction,Nilanapo,408,4-Feb-17
