ProdCategory_id,Product_category,ProdSubCategory
1,Hobbies , Model Trains & Railway Sets 
2,Hobbies , Model Trains & Railway Sets 
3,Hobbies , Model Trains & Railway Sets 
4,Hobbies , Model Trains & Railway Sets 
5,Hobbies , Model Trains & Railway Sets 
6,Hobbies , Model Trains & Railway Sets 
7,Hobbies , Model Trains & Railway Sets 
8,Hobbies , Model Trains & Railway Sets 
9,Hobbies , Model Trains & Railway Sets 
10,Hobbies , Model Trains & Railway Sets 
11,Hobbies , Model Trains & Railway Sets 
12,Hobbies , Model Trains & Railway Sets 
13,Hobbies , Model Trains & Railway Sets 
14,Hobbies , Model Trains & Railway Sets 
15,Hobbies , Model Trains & Railway Sets 
16,Hobbies , Model Trains & Railway Sets 
17,Hobbies , Model Trains & Railway Sets 
18,Hobbies , Model Trains & Railway Sets 
19,Hobbies , Model Trains & Railway Sets 
20,Hobbies , Model Trains & Railway Sets 
21,Hobbies , Model Trains & Railway Sets 
22,Hobbies , Model Trains & Railway Sets 
23,Hobbies , Model Trains & Railway Sets 
24,Hobbies , Model Trains & Railway Sets 
25,Hobbies , Model Trains & Railway Sets 
26,Hobbies , Model Trains & Railway Sets 
27,Hobbies , Model Trains & Railway Sets 
28,Hobbies , Model Trains & Railway Sets 
29,Hobbies , Model Trains & Railway Sets 
30,Hobbies , Model Trains & Railway Sets 
31,Hobbies , Model Trains & Railway Sets 
32,Hobbies , Model Trains & Railway Sets 
33,Hobbies , Model Trains & Railway Sets 
34,Hobbies , Model Trains & Railway Sets 
35,Hobbies , Model Trains & Railway Sets 
36,Hobbies , Model Trains & Railway Sets 
37,Hobbies , Model Trains & Railway Sets 
38,Hobbies , Model Trains & Railway Sets 
39,Hobbies , Model Trains & Railway Sets 
40,Hobbies , Model Trains & Railway Sets 
41,Hobbies , Model Trains & Railway Sets 
42,Hobbies , Model Trains & Railway Sets 
43,Hobbies , Model Trains & Railway Sets 
44,Hobbies , Model Trains & Railway Sets 
45,Hobbies , Model Trains & Railway Sets 
46,Hobbies , Model Trains & Railway Sets 
47,Hobbies , Model Trains & Railway Sets 
48,Hobbies , Model Trains & Railway Sets 
49,Hobbies , Model Trains & Railway Sets 
50,Hobbies , Model Trains & Railway Sets 
51,Hobbies , Model Trains & Railway Sets 
52,Hobbies , Model Trains & Railway Sets 
53,Hobbies , Model Trains & Railway Sets 
54,Hobbies , Model Trains & Railway Sets 
55,Hobbies , Model Trains & Railway Sets 
56,Hobbies , Model Trains & Railway Sets 
57,Hobbies , Model Trains & Railway Sets 
58,Hobbies , Model Trains & Railway Sets 
59,Hobbies , Model Trains & Railway Sets 
60,Hobbies , Model Trains & Railway Sets 
