Number,Department,CountryFull,City,StreetAddress,StateFull,State,Country,ZipCode,UPS,TelephoneNumber
1,Department 1734,United States,Ventura,1734 Creekside Lane,California,CA,US,93003,1Z 299 1V1 79 4445 505 8,805-675-7518
2,Department Weihburggasse,Austria,AIGEN,Weihburggasse 70,Carinthia,KA,AT,9546,1Z 773 655 98 2950 339 2,0664 967 81 64
3,Department 3220,United States,Okla City,3220 Hott Street,Oklahoma,OK,US,73107,1Z 061 279 22 4530 183 7,405-706-0731
4,Department Waldstrasse,Austria,FELDKIRCH,Waldstrasse 18,Vorarlberg,VO,AT,6800,1Z V00 Y28 57 9952 183 4,0676 696 39 91
5,Department 3177,United States,Houston,3177 Wines Lane,Texas,TX,US,77002,1Z 587 A30 18 3876 445 8,832-342-1855
6,Department 743,United States,Tulsa,743 Henry Ford Avenue,Oklahoma,OK,US,74145,1Z 273 A28 30 2391 014 0,918-204-8747
7,Department 1542,United States,New York,1542 Geraldine Lane,New York,NY,US,10011,1Z 58F Y43 19 2751 228 7,646-274-1766
8,Department 3086,United States,Nassau,3086 Joes Road,New York,NY,US,12123,1Z 524 5W2 06 3726 891 9,518-766-9225
9,Department Langenloiser,Austria,MÖCHLING,Langenloiser Strasse 26,Carinthia,KA,AT,9132,1Z 11E Y65 38 9559 167 9,0688 343 73 96
10,Department 2671,United States,Saint Paul,2671 Willison Street,Minnesota,MN,US,55104,1Z 265 2F3 56 9165 440 7,763-289-9587
11,Department Blaue,Austria,OBERACHMANN,Blaue Lagune 22,Upper Austria,OO,AT,4861,1Z A22 127 01 5045 479 6,0681 801 25 28
12,Department 3696,Canada,Sudbury,3696 Paris St,Ontario,ON,CA,P3E 4N2,1Z 4W0 V60 53 6444 863 8,705-626-0305
13,Department 3728,United States,Houston,3728 Richland Avenue,Texas,TX,US,77002,1Z 3F6 9Y3 66 8582 746 7,281-301-1010
14,Department 4169,United States,Plainfield,4169 Stonepot Road,New Jersey,NJ,US,7060,1Z 604 394 73 0409 231 7,908-412-6974
15,Department 95,United Kingdom,PENTREHEYLING,95 Fulford Road,,,GB,SY15 7PJ,1Z 145 745 83 3203 704 4,070 1819 1979
16,Department 36,Australia,SANDY CREEK,36 Campbells River Road,New South Wales,NSW,AU,2835,1Z 621 F20 84 2164 152 3,(02) 4090 6446
17,Department Schützengartenstrasse,Austria,MAAD,Schützengartenstrasse 66,Upper Austria,OO,AT,4775,1Z 065 037 71 6804 621 3,0699 858 27 23
18,Department 4,United Kingdom,ECCHINSWELL,4 Haslemere Road,,,GB,RG20 9SG,1Z 605 235 16 9470 543 0,077 6724 5362
19,Department Kimpling,Austria,SITTLING,Kimpling 58,Upper Austria,OO,AT,4085,1Z 977 52F 33 0108 829 6,0699 546 92 42
20,Department 99,Australia,WIRRULLA,99 Bayview Road,South Australia,SA,AU,5661,1Z 617 669 31 6150 076 0,(08) 8764 9610
21,Department 647,United States,Springfield,647 Hilltop Street,Massachusetts,MA,US,1103,1Z 913 V86 67 1952 804 1,413-674-9026
22,Department 87,United Kingdom,STICKNEY,87 Netherpark Crescent,,,GB,PE22 6LH,1Z 063 564 07 4162 142 2,078 1227 7770
23,Department 2187,United States,Atlanta,2187 Adonais Way,Georgia,GA,US,30310,1Z 68W 4Y9 18 4928 440 0,678-449-0434
24,Department 993,United States,Rancho California,993 Denver Avenue,California,CA,US,92390,1Z 312 174 82 6337 393 5,951-308-4459
25,Department 16,United Kingdom,SIDESTRAND,16 Stroude Road,,,GB,NR27 0SL,1Z 1F5 453 34 1235 133 6,070 6125 2730
26,Department 69,United Kingdom,FFARMERS,69 Rhosddu Rd,,,GB,SA19 5UN,1Z 306 858 66 4257 886 0,077 2653 0564
27,Department 99,Australia,MORANG SOUTH,99 Villeneuve Street,Victoria,VIC,AU,3752,1Z 482 954 53 7614 697 9,(03) 9713 5528
28,Department Mollardgasse,Austria,TAMBERGAU,Mollardgasse 99,Upper Austria,OO,AT,4574,1Z E48 999 91 4175 893 1,0688 976 59 01
29,Department 9,United Kingdom,LLANGWYLLOG,9 Constitution St,,,GB,LL77 0GB,1Z 938 070 72 0423 154 2,077 5143 6208
30,Department Aufeld,Austria,FRITZBERG,Aufeld 58,Lower Austria,NO,AT,3240,1Z 371 569 90 0077 857 2,0681 681 04 42
31,Department 71,Australia,HOPE GAP,71 Sinclair Street,South Australia,SA,AU,5555,1Z 52V 741 81 9541 605 8,(08) 8336 3161
32,Department Ernstbrunner,Austria,REINÖD,Ernstbrunner Strasse 97,Lower Austria,NO,AT,3242,1Z 9A3 841 49 2039 745 4,0650 942 33 50
33,Department 77,United Kingdom,EDGCUMBE,77 Park Row,,,GB,TR10 0RB,1Z 523 170 34 1276 594 7,070 0142 1825
34,Department 4767,Canada,St Laurent,4767 Pitfield Blvd,Quebec,QC,CA,H4S 1H3,1Z Y18 070 85 4271 969 6,514-817-2675
35,Department 2708,Canada,Foam Lake,2708 Terry Fox Dr,Saskatchewan,SK,CA,S4P 3Y2,1Z 177 6W3 08 3675 257 0,306-272-9058
36,Department 6,Australia,METFORD DC,6 Gaggin Street,New South Wales,NSW,AU,2323,1Z Y90 300 07 7067 379 5,(02) 4930 4377
37,Department 1565,United States,Everett,1565 Hershell Hollow Road,Washington,WA,US,98208,1Z 123 5V4 88 0209 836 7,425-263-2932
38,Department 1623,Canada,Meadow Lake,1623 Main St,Saskatchewan,SK,CA,S0M 1V0,1Z 033 A46 50 1151 658 4,306-234-9360
39,Department 61,Australia,KRONKUP,61 Baker Street,Western Australia,WA,AU,6330,1Z 488 9Y3 60 8980 487 6,(08) 9019 3115
40,Department 93,Australia,MOLENDINAR,93 Ross Street,Queensland,QLD,AU,4214,1Z F51 98W 50 3560 687 5,(07) 5678 1530
41,Department Bonygasse,Austria,INNERLEITEN,Bonygasse 99,Upper Austria,OO,AT,4873,1Z Y78 644 32 7006 069 9,0664 387 87 28
42,Department 54,Australia,BALLYROE,54 Plantation Place,New South Wales,NSW,AU,2795,1Z 382 6V9 08 2672 593 9,(02) 4052 5306
43,Department 3503,United States,Albuquerque,3503 Chapmans Lane,New Mexico,NM,US,87106,1Z 927 497 16 6150 082 9,505-891-1193
44,Department 28,Australia,SUTHERLAND,28 Taltarni Road,Victoria,VIC,AU,3478,1Z 578 567 92 8458 017 9,(03) 5318 7288
45,Department 22,United Kingdom,TUR LANGTON,22 Castledore Road,,,GB,LE8 1FU,1Z 671 435 18 7839 356 1,078 1752 8964
46,Department 46,United Kingdom,CROFT,46 Carriers Road,,,GB,PE24 4UA,1Z 3A2 145 66 0695 948 9,077 2873 2745
47,Department 4690,Canada,New Westminster,4690 Sixth Street,British Columbia,BC,CA,V3L 3C1,1Z 821 907 65 7921 428 8,604-878-7656
48,Department 98,Australia,BOSTOBRICK,98 Cofton Close,New South Wales,NSW,AU,2453,1Z 175 571 10 6197 231 3,(02) 6729 6465
49,Department 3577,Canada,Red Deer,3577 Galts Ave,Alberta,AB,CA,T4N 2A6,1Z 935 V20 63 7489 587 4,403-304-2375
50,Department 91,Australia,HALLS GAP,91 Swanston Street,Victoria,VIC,AU,3381,1Z A80 930 04 2917 695 2,(03) 5308 4764
51,Department 36,Australia,BUNGIL,36 Cunningham Street,Queensland,QLD,AU,4455,1Z E35 W77 59 7662 577 5,(07) 4577 5109
52,Department 4527,Canada,Oliver,4527 Haaglund Rd,British Columbia,BC,CA,V0H 1T0,1Z V59 268 89 2250 504 4,250-498-4656
53,Department 9,United Kingdom,UPWELL,9 Canterbury Road,,,GB,PE14 8GG,1Z 660 V51 34 4718 094 1,079 6525 5713
54,Department 63,United Kingdom,GLENMOY,63 Brynglas Road,,,GB,DD8 7XN,1Z 737 Y81 63 3327 097 2,070 5217 6922
55,Department 15,Australia,PHEASANT CREEK,15 Bayley Street,Victoria,VIC,AU,3757,1Z 954 841 92 9881 839 4,(03) 8654 8501
56,Department 55,Australia,SIX MILE FLAT,55 Adavale Road,New South Wales,NSW,AU,2580,1Z 587 E69 21 4234 969 7,(02) 6163 8292
57,Department 27,United Kingdom,LONGTOWN,27 Great Western Road,,,GB,HR2 6ZD,1Z 084 Y16 00 5877 786 0,070 6423 2145
58,Department Sternhofweg,Austria,GOING AM WILDEN KAISER,Sternhofweg 39,Tyrol,TR,AT,6353,1Z 207 227 20 1121 571 4,0688 825 19 00
59,Department 49,United Kingdom,LONDON,49 Guild Street,,,GB,NW1 4SH,1Z 692 952 81 2241 507 1,077 0913 9514
60,Department 3830,Canada,Coquitlam,3830 Glover Road,British Columbia,BC,CA,V3J 4S1,1Z 994 440 79 0354 919 8,604-931-4129
61,Department 156,Canada,Edmonton,156 184th Street,Alberta,AB,CA,T5J 2R4,1Z 302 337 42 6708 491 8,780-913-9236
62,Department 4980,Canada,Edmonton,4980 A Avenue,Alberta,AB,CA,T5J 0K7,1Z 818 433 19 1094 570 3,780-420-2666
63,Department 60,Australia,UPPER ORARA,60 Glenpark Road,New South Wales,NSW,AU,2450,1Z A22 585 54 0502 308 8,(02) 6783 1070
64,Department Hauptstrasse,Austria,PÜHRET,Hauptstrasse 90,Lower Austria,NO,AT,4143,1Z 291 A95 08 4178 933 0,0699 380 19 49
65,Department 88,United Kingdom,STEINMANHILL,88 Netherpark Crescent,,,GB,AB53 4DU,1Z 924 00F 94 4417 216 5,077 2686 4948
66,Department 994,Canada,Ottawa,994 MacLaren Street,Ontario,ON,CA,K1P 5M7,1Z 039 944 87 2149 400 3,613-368-2200
67,Department 93,Australia,BELLBRAE,93 Shell Road,Victoria,VIC,AU,3228,1Z 147 8V1 53 2900 531 2,(03) 5333 6304
68,Department 4248,United States,Gould,4248 Simpson Square,Oklahoma,OK,US,73544,1Z 197 29A 42 6003 224 7,580-676-5483
69,Department 3822,Canada,Change Islands,3822 Glencoe Drive,Newfoundland and Labrador,NL,CA,A1C 5H6,1Z 337 995 14 3023 709 9,709-621-9274
70,Department 46,Australia,LEARMONTH,46 Edmundsons Road,Victoria,VIC,AU,3352,1Z 563 004 65 2013 291 4,(03) 5379 5775
71,Department Wiehtestrasse,Austria,SIEDING,Wiehtestrasse 77,Lower Austria,NO,AT,2630,1Z 171 456 77 4394 032 4,0680 757 75 89
72,Department 94,Australia,HEPBURN,94 Cherokee Road,Victoria,VIC,AU,3461,1Z 171 206 01 4481 386 5,(03) 5334 9849
73,Department 3793,Canada,Kelowna,3793 Hardy Street,British Columbia,BC,CA,V1Y 8H2,1Z 957 2A8 33 5778 798 8,250-979-4284
74,Department 78,Australia,HALLETT COVE,78 Henley Beach Road,South Australia,SA,AU,5158,1Z 750 059 84 4066 439 4,(08) 8219 8524
75,Department 52,United Kingdom,HAM,52 Bury Rd,,,GB,TW10 1NZ,1Z A88 F11 62 2348 040 9,079 8455 9960
76,Department 25,United Kingdom,MUGEARY,25 Ilchester Road,,,GB,IV51 2TT,1Z 021 745 19 9154 839 2,079 5006 2322
77,Department 393,Canada,Buffalo Narrows,393 St. John Street,Saskatchewan,SK,CA,S4P 3Y2,1Z 903 069 01 2362 717 7,306-235-0368
78,Department 61,United Kingdom,NEWARK-ON-TRENT,61 Lairg Road,,,GB,NG24 5UW,1Z A28 756 36 1636 692 8,077 0865 2544
79,Department 74,Australia,HAY POINT,74 Hay Point Road,Queensland,QLD,AU,4740,1Z 941 W58 75 4197 992 8,(07) 4963 2476
80,Department 4721,United States,Lafayette,4721 Bridge Avenue,Louisiana,LA,US,70503,1Z 898 551 05 3644 845 4,337-735-3406
81,Department 36,United Kingdom,SARNAU,36 Vicar Lane,,,GB,SY22 3BP,1Z 83Y 8W6 96 7822 186 2,077 0534 6935
82,Department Wurmbrandgasse,Austria,SIEBENHIRTEN,Wurmbrandgasse 90,Lower Austria,NO,AT,3071,1Z 8V1 149 04 8104 991 2,0680 163 76 18
83,Department 357,Canada,Alberta Beach,357 Park Ct,Alberta,AB,CA,T0E 0A0,1Z 184 63V 68 1080 076 7,780-924-4955
84,Department 62,Australia,GREENVIEW,62 Raglan Street,Queensland,QLD,AU,4606,1Z 827 41F 64 4709 488 1,(07) 4553 0152
85,Department 38,United Kingdom,NETHERWOOD,38 North Road,,,GB,DG1 1GG,1Z V24 219 39 2016 624 0,079 6915 5359
86,Department 657,Canada,Montreal,657 Papineau Avenue,Quebec,QC,CA,H2K 4J5,1Z 008 40W 76 9027 388 9,514-758-7510
87,Department Kalhamer,Austria,GANZ,Kalhamer Strasse 60,Lower Austria,NO,AT,3281,1Z 399 240 24 9707 656 7,0650 977 58 44
88,Department Grazer,Austria,HART,Grazer Strasse 52,Carinthia,KA,AT,9556,1Z 226 778 15 8128 337 9,0676 890 57 07
89,Department 4617,United States,Wichita,4617 Williams Lane,Kansas,KS,US,67214,1Z A45 811 36 7593 662 4,316-518-4026
90,Department 26,Australia,LONGARM,26 Yangan Drive,New South Wales,NSW,AU,2347,1Z 040 Y01 51 0022 366 4,(02) 6773 4711
91,Department 3123,United States,New York,3123 Small Street,New York,NY,US,10007,1Z 72W 443 53 7133 002 2,212-815-6763
92,Department 89,Australia,EAST MOONTA,89 Sinclair Street,South Australia,SA,AU,5558,1Z 833 709 48 3342 541 7,(08) 8366 7140
93,Department 68,United Kingdom,HALIFAX,68 Fordham Rd,,,GB,HX1 0UA,1Z 950 4W4 41 5161 524 7,078 2520 5007
94,Department Waldstrasse,Austria,FELBERACH,Waldstrasse 50,Lower Austria,NO,AT,3261,1Z 234 608 76 4360 729 9,0688 242 20 40
95,Department 388,United States,Levelland,388 Smithfield Avenue,Texas,TX,US,79336,1Z 475 25W 39 3199 097 2,806-716-7271
96,Department 2635,United States,Dallas,2635 Jones Street,Texas,TX,US,75207,1Z 205 24A 85 6968 945 0,817-506-0212
97,Department 82,United Kingdom,THE LHEN,82 Lamphey Road,,,GB,IM7 3ES,1Z 759 370 88 8272 112 2,077 8414 1664
98,Department Haid,Austria,MEINHARTSCHLAG,Haid 99,Lower Austria,NO,AT,3931,1Z Y71 801 75 1578 525 5,0680 403 12 89
99,Department 58,Australia,MOUNT FOSTER,58 Arthur Street,New South Wales,NSW,AU,2824,1Z 350 568 87 4657 691 9,(02) 4025 2664
100,Department 2088,Canada,Hespeler,2088 Queens Sq,Ontario,ON,CA,N3C 1H3,1Z 4Y6 840 97 6012 445 0,519-240-2196
101,Department 81,Australia,GLEN APLIN,81 Punchs Creek Road,Queensland,QLD,AU,4381,1Z 318 189 48 2398 908 9,(07) 4575 3945
102,Department 3646,United States,Hollywood,3646 Roane Avenue,Maryland,MD,US,20636,1Z Y44 405 71 7593 652 0,301-247-7879
103,Department 9,Australia,LINDENOW SOUTH,9 Romawi Road,Victoria,VIC,AU,3875,1Z 414 867 45 6584 490 5,(03) 5378 2499
104,Department 41,Australia,WALLAVILLE,41 Delan Road,Queensland,QLD,AU,4671,1Z 393 614 44 4999 856 0,(07) 3355 5895
105,Department 147,Canada,Toronto,147 Dundas St,Ontario,ON,CA,M2N 2G8,1Z 230 849 19 5655 079 1,416-221-2092
106,Department 31,Australia,BRANXTON,31 Woerdens Road,New South Wales,NSW,AU,2335,1Z 980 598 21 2216 053 8,(02) 4960 2727
107,Department 31,Australia,CARROLLS CREEK,31 Rimbanda Road,New South Wales,NSW,AU,2372,1Z 362 631 57 8333 499 7,(02) 6784 7162
108,Department 2927,Canada,New Westminster,2927 Sixth Street,British Columbia,BC,CA,V3L 3C1,1Z 453 599 28 0492 579 5,604-522-8622
109,Department 75,United Kingdom,BISLEY,75 Boroughbridge Road,,,GB,GU24 9BF,1Z 17V 183 63 7044 768 1,070 4282 8321
110,Department 4964,Canada,Toronto,4964 Victoria Park Ave,Ontario,ON,CA,M2J 3T7,1Z 768 700 46 7788 661 6,416-494-4647
111,Department 38,United Kingdom,LONDON,38 Crown Street,,,GB,WC1V 8DA,1Z 145 723 56 1565 911 1,077 1706 4862
112,Department 4,Australia,ANGAS PLAINS,4 Hereford Avenue,South Australia,SA,AU,5255,1Z 529 198 14 8422 690 0,(08) 8249 6474
113,Department 4994,Canada,St Luc,4994 St Jean Baptiste St,Quebec,QC,CA,G0S 1L0,1Z 1Y0 E21 92 5222 843 5,418-636-0033
114,Department 68,United Kingdom,CROWAN,68 Sloe Lane,,,GB,TR14 3HR,1Z 9Y3 1V4 33 1430 388 1,077 2767 3486
115,Department Lendplatz,Austria,HAUSRUCK,Lendplatz 16,Upper Austria,OO,AT,4906,1Z A03 024 47 3868 367 3,0676 345 59 60
116,Department 582,Canada,Goulais,582 Nelson Street,Ontario,ON,CA,P0S 1E0,1Z 64F 446 43 1277 158 6,705-649-4041
117,Department 4779,United States,Fork,4779 Cambridge Place,Maryland,MD,US,21051,1Z 99W 303 04 7010 144 4,410-592-6298
118,Department Thayapark,Austria,ROSENTHAL,Thayapark 62,Lower Austria,NO,AT,3121,1Z 884 390 99 3835 975 0,0699 128 44 36
119,Department 7,Canada,Toronto,7 Sheppard Ave,Ontario,ON,CA,M1S 1T4,1Z 840 118 09 6540 814 6,416-683-4771
120,Department 4687,United States,Midland,4687 Juniper Drive,Michigan,MI,US,48640,1Z 508 979 81 9195 956 4,989-839-8948
121,Department 2340,United States,Saint Louis,2340 Irving Place,Missouri,MO,US,63146,1Z 221 919 56 6461 183 1,636-259-4886
122,Department 286,Canada,Edmonton,286 184th Street,Alberta,AB,CA,T5J 2R4,1Z A58 189 81 0161 785 3,780-450-8199
123,Department Schützengartenstrasse,Austria,MAIERHOFEN,Schützengartenstrasse 89,Styria,ST,AT,8263,1Z 4V2 E83 93 5342 703 6,0680 516 92 16
124,Department Enzersdorfer,Austria,GESSLINGEN,Enzersdorfer Strasse 10,Upper Austria,OO,AT,4890,1Z 719 467 08 8606 860 8,0660 229 18 23
125,Department 51,United Kingdom,SICKLESMERE,51 Felix Lane,,,GB,IP30 2RZ,1Z 7V4 617 56 1325 968 0,078 4845 6676
