Number,Department,CountryFull,City,City_code,StreetAddress,StateFull,State,Country,ZipCode,UPS,TelephoneNumber
D9VUS8,Department 1734,United States,Ventura,CV37,1734 Creekside Lane,California,CA,US,93003,1Z 299 1V1 79 4445 505 8,805-675-7518
D9AAT2,Department Weihburggasse,Austria,AIGEN,CA65,Weihburggasse 70,Carinthia,KA,AT,9546,1Z 773 655 98 2950 339 2,0664 967 81 64
D7OUS7,Department 3220,United States,Okla City,CO79,3220 Hott Street,Oklahoma,OK,US,73107,1Z 061 279 22 4530 183 7,405-706-0731
D6FAT4,Department Waldstrasse,Austria,FELDKIRCH,CF09,Waldstrasse 18,Vorarlberg,VO,AT,6800,1Z V00 Y28 57 9952 183 4,0676 696 39 91
D7HUS8,Department 3177,United States,Houston,CH27,3177 Wines Lane,Texas,TX,US,77002,1Z 587 A30 18 3876 445 8,832-342-1855
D7TUS0,Department 743,United States,Tulsa,CT55,743 Henry Ford Avenue,Oklahoma,OK,US,74145,1Z 273 A28 30 2391 014 0,918-204-8747
D1NUS7,Department 1542,United States,New York,CN18,1542 Geraldine Lane,New York,NY,US,10011,1Z 58F Y43 19 2751 228 7,646-274-1766
D1NUS9,Department 3086,United States,Nassau,CN36,3086 Joes Road,New York,NY,US,12123,1Z 524 5W2 06 3726 891 9,518-766-9225
D9MAT9,Department Langenloiser,Austria,MÖCHLING,CM28,Langenloiser Strasse 26,Carinthia,KA,AT,9132,1Z 11E Y65 38 9559 167 9,0688 343 73 96
D5SUS7,Department 2671,United States,Saint Paul,CS410,2671 Willison Street,Minnesota,MN,US,55104,1Z 265 2F3 56 9165 440 7,763-289-9587
D4OAT6,Department Blaue,Austria,OBERACHMANN,CO111,Blaue Lagune 22,Upper Austria,OO,AT,4861,1Z A22 127 01 5045 479 6,0681 801 25 28
DPSCA8,Department 3696,Canada,Sudbury,CS27,3696 Paris St,Ontario,ON,CA,P3E 4N2,1Z 4W0 V60 53 6444 863 8,705-626-0305
D7HUS7,Department 3728,United States,Houston,CH27,3728 Richland Avenue,Texas,TX,US,77002,1Z 3F6 9Y3 66 8582 746 7,281-301-1010
D7PUS7,Department 4169,United States,Plainfield,CP010,4169 Stonepot Road,New Jersey,NJ,US,7060,1Z 604 394 73 0409 231 7,908-412-6974
DSPGB4,Department 95,United Kingdom,PENTREHEYLING,CPJ13,95 Fulford Road,,,GB,SY15 7PJ,1Z 145 745 83 3203 704 4,070 1819 1979
D2SAU3,Department 36,Australia,SANDY CREEK,CS511,36 Campbells River Road,New South Wales,NSW,AU,2835,1Z 621 F20 84 2164 152 3,(02) 4090 6446
D4MAT3,Department Schützengartenstrasse,Austria,MAAD,CM54,Schützengartenstrasse 66,Upper Austria,OO,AT,4775,1Z 065 037 71 6804 621 3,0699 858 27 23
DREGB0,Department 4,United Kingdom,ECCHINSWELL,CEG11,4 Haslemere Road,,,GB,RG20 9SG,1Z 605 235 16 9470 543 0,077 6724 5362
D4SAT6,Department Kimpling,Austria,SITTLING,CS58,Kimpling 58,Upper Austria,OO,AT,4085,1Z 977 52F 33 0108 829 6,0699 546 92 42
D5WAU0,Department 99,Australia,WIRRULLA,CW18,99 Bayview Road,South Australia,SA,AU,5661,1Z 617 669 31 6150 076 0,(08) 8764 9610
D1SUS1,Department 647,United States,Springfield,CS311,647 Hilltop Street,Massachusetts,MA,US,1103,1Z 913 V86 67 1952 804 1,413-674-9026
DPSGB2,Department 87,United Kingdom,STICKNEY,CSH8,87 Netherpark Crescent,,,GB,PE22 6LH,1Z 063 564 07 4162 142 2,078 1227 7770
