Code;City;Shop_nam;Address;Address;Phone ;Регион;Manager_code;
16347;БАРАНОВИЧИ;Relouis;УЛ.СОВЕТСКАЯ;65;+375 (29) 3920419;1;7206;
10121;БАРАНОВИЧИ;Relouis;ПРТ СОВЕТСКИЙ;21;+375 (29) 6934985;1;3793;
11073;Барановичи;Relouis; 1й Советский;11;+375 (29) 6938295;1;4655;
14220;Барановичи;Relouis; Парковая; 47а;+375 (163) 406050;1;5258;
12566;Барановичи;Relouis;Богдановича; 11а;+375 (163) 608972;1;5733;
14291;Барановичи;Relouis;Брестская; 270д;+375 (163) 400422;1;1995;
18114;Барановичи;Relouis;Советская;75;+375 (29) 6925359;1;4068;
16463;Барановичи;Relouis;Советский;5;+375 (163) 581510;1;8419;
12569;Барановичи;Relouis;Тельмана;165;+375 (29) 3920149;1;6898;
19197;Барановичи;Relouis; Франциска Скорины; 4б;+375 (44) 7696120;1;8619;
14678;Барановичи;Relouis;Фроленкова;42;+375 (44) 7681051;1;3854;
10207;Барань;Relouis;Оршанская; 26а;+375 (216) 548307;2;2151;
19542;Белоозерск;Relouis; Ленина; 48а;+375 (29) 1920221;1;4292;
17879;Белыничи;Relouis; Калинина;42;+375 (29) 6932529;1;6088;
17705;Берёза;Relouis; Ленина; 104/1;+375 (44) 7671079;1;8102;
13333;Березино;Relouis; Хонинова;149;+375 (29) 3920433;5;9200;
12402;Березовка;Relouis; Заводская;9;+375 (154) 564702;4;3607;
15907;Бешенковичи;Relouis; Урицкого; 28а;+375 (44) 7989771;2;6687;
14275;БОБРУЙСК;Relouis;УЛ.ДЗЕРЖИНСКОГО;50;+375 (44) 7969039;6;9994;
10780;БОБРУЙСК;Relouis; УЛ.ГОРЬКОГО;29;+375 (44) 7818302;6;3289;
13519;БОБРУЙСК;Relouis;УЛ. 50 ЛЕТ ВЛКСМ;  Д.33;+375 (44) 7696324;6;8294;
18876;БОБРУЙСК;Relouis;бр Приберезенский;40;+375 (29) 1920935;6;2368;
15125;БОБРУЙСК;Relouis;ул. 50 лет ВЛКСМ; 20а;+375 (44) 7661247;6;7253;
15051;БОБРУЙСК;Relouis;ул. М.Горького; 6Б;+375 (29) 6926076;6;2257;
15201;БОБРУЙСК;Relouis;ул. Минская;89;+375 (29) 6926076;6;5828;
13302;БОБРУЙСК;Relouis;ул. Парковая 68;+375 (29) 6027797;6;1956;
17719;БОБРУЙСК;Relouis;ул. Советская;91;+375 (29) 1920517;6;3831;
10528;БОБРУЙСК;Relouis; 50 лет ВЛКСМ;34;+375 (225) 724252;6;5994;
15750;БОБРУЙСК;Relouis; Горелика; 20а;+375 (44) 5353452;6;7786;
11517;Бобруйск;Relouis; Интернациональная;78;+375 (44) 7822709;6;2294;
19163;Бобруйск;Relouis; Максима Горького; 7а;+375 (29) 1062215;6;4388;
15318;Бобруйск;Relouis; Минская;135;+375 (29) 6938092;6;8443;
10859;Бобруйск;Relouis; Минская; 56/163;+375 (225) 447000;6;8406;
13464;Бобруйск;Relouis; Социалистическая;40;+375 (225) 720740;6;4977;
19243;Бобруйск;Relouis; Строителей; 24 б;+375 (225) 711255;6;7554;
13263;Бобруйск;Relouis; Ульяновская;60;+375 (225) 719500;6;3820;
17207;БОРИСОВ;Relouis;УЛ.ГАГАРИНА;105;+375 (29) 6920172;5;9977;
11045;БОРИСОВ;Relouis; УЛ. 3ГО ИНТЕРНАЦИОНАЛА;5;+375 (44) 7818332;5;9786;
19182;Борисов;Relouis; 50 лет БССР; 17а;+375 (177) 938393;5;9923;
14070;Борисов;Relouis; Гагарина;48;+375 (177) 749400;5;7276;
18545;Борисов;Relouis; Дзержинского;78;+375 (29) 6929225;5;1288;
12726;Борисов;Relouis; Строителей;26;+375 (177) 769617;5;5718;
15538;Борисов;Relouis; Чапаева; 3а;+375 (177) 945005;5;6528;
17575;Браслав;Relouis; Садовая;8;+375 (29) 1922052;2;5819;
17628;Брест;Relouis;Варшавское шоссе;3;+375 (29) 6926076;1;4010;
13611;Брест;Relouis;ул.Гаврилова;11;+375 (29) 6027798;1;5868;
14178;Брест;Relouis;ул.Ленинградская;16;+375 (29) 1920518;1;8767;
10243;БРЕСТ;Relouis; УЛ.МОСКОВСКАЯ;210;+375 (29) 6926039;1;9044;
17647;БРЕСТ;Relouis; УЛ. ГАВРИЛОВА;16;+375 (29) 6926065;1;1616;
13703;БРЕСТ;Relouis; УЛ. МОСКОВСКАЯ;326 (1 ЭТАЖ);+375 (44) 7989915;1;5035;
10543;Брест;Relouis;пр.Московский; 31  1й этаж. ;+375 (29) 6926076;1;2758;
19916;Брест;Relouis;ул. Советская;273В  1 этаж;+375 (29) 6027794;1;9328;
18362;Брест;Relouis; 28 июля; 33Б80;+375 (162) 538044;1;8359;
14243;Брест;Relouis; Варшавское шоссе;11;+375 (162) 501144;1;1915;
