postal_code,address,city,country,country_code,
225336,ул. Чекменева 127,г. Барановичи,Беларусь,BY,
225409,ул. 50 лет ВЛКСМ 7,г. Барановичи,Беларусь,BY,
225409,ул. 50 лет ВЛКСМ 3,г. Барановичи,Беларусь,BY,
225413,Слонимское шоссе 61В,г. Барановичи,Беларусь,BY,
225360,ул. Несвижская 41,г. Барановичи,Беларусь,BY,
225409,ул. Чернышевского 94 пом. 2,г. Барановичи,Беларусь,BY,
225320,ул. Доминикана 6,г. Барановичи,Беларусь,BY,
225411,пер. Трансформаторный 4-216,г. Барановичи,Беларусь,BY,
225402,ул. Фроленкова 13,г. Барановичи,Беларусь,BY,
225402,ул. Фроленкова 38,г. Барановичи,Беларусь,BY,
225404,ул. Сержанта,г. Барановичи,Беларусь,BY,
225409,ул. Чернышевского 11,г. Барановичи,Беларусь,BY,
225402,ул. Фроленкова 52/Г,г. Барановичи,Беларусь,BY,
225356,ул. Юбилейная 2,г. Барановичи,Беларусь,BY,
225332,пер. Фабричный 1,г. Барановичи,Беларусь,BY,
225316,ул. Центральная 3,г. Барановичи,Беларусь,BY,
225351,ул. Советская 15,г. Барановичи,Беларусь,BY,
225354,ул. Дзержинского 70,г. Барановичи,Беларусь,BY,
225357,д. 176 корп. А,г. Барановичи,Беларусь,BY,
225360,ул. Брестская 186,г. Барановичи,Беларусь,BY,
225353,ул. Гагарина 53,г. Барановичи,Беларусь,BY,
225336,ул. Октябрьская 135,г. Барановичи,Беларусь,BY,
225410,ул. Кирова 73,г. Барановичи,Беларусь,BY,
225328,ул. Едунова 6,г. Барановичи,Беларусь,BY,
225312,ул. Поленичицкая 1,г. Барановичи,Беларусь,BY,
225340,ул. Кирова 79,г. Барановичи,Беларусь,BY,
225367,ул. Советская 35,г. Барановичи,Беларусь,BY,
225362,ул. Ленина 8,г. Барановичи,Беларусь,BY,
225366,ул. Центральная 83,г. Барановичи,Беларусь,BY,
225323,ул. Центральная 24,г. Барановичи,Беларусь,BY,
225363,ул. Комсомольская 1,г. Барановичи,Беларусь,BY,
225369,ул. Мицкевича 12,г. Барановичи,Беларусь,BY,
225416,пр-т Советский 11,г. Барановичи,Беларусь,BY,
225415,ул. Советская 146 корп. А,г. Барановичи,Беларусь,BY,
225365,ул. Чернышева 13,г. Барановичи,Беларусь,BY,
225406,ул. Брестская 281 пом. 2,г. Барановичи,Беларусь,BY,
225314,ул. Могучего 12,г. Барановичи,Беларусь,BY,
225315,ул. Мирная 8,г. Барановичи,Беларусь,BY,
225407,ул. Репина 57,г. Барановичи,Беларусь,BY,
225404,ул. Сержанта 4,г. Барановичи,Беларусь,BY,
225411,ул. Пролетарская 159 корп. Б,г. Барановичи,Беларусь,BY,
225415,ул. Советская 110,г. Барановичи,Беларусь,BY,
225409,ул. Чернышевского 61,г. Барановичи,Беларусь,BY,
225401,ул. Парковая 7-69,г. Барановичи,Беларусь,BY,
225409,ул. Комсомольская 16,г. Барановичи,Беларусь,BY,
225404,ул. Войкова 2,г. Барановичи,Беларусь,BY,
225409,б-р Штоккерау 8 корп. А,г. Барановичи,Беларусь,BY,
225401,ул. Брестская 230 пом. 87,г. Барановичи,Беларусь,BY,
225415,ул. Коммунистическая 7 корп. Б,г. Барановичи,Беларусь,BY,
225350,ул. Школьная 27,г. Барановичи,Беларусь,BY,
225409,б-р Штоккерау 8 корп. А,г. Барановичи,Беларусь,BY,
225409,ул. Притыцкого 79,г. Барановичи,Беларусь,BY,
225401,ул. Брестская 279 корп. Б,г. Барановичи,Беларусь,BY,
225320,ул. Царюка 4,г. Барановичи,Беларусь,BY,
225409,ул. Тельмана 94,г. Барановичи,Беларусь,BY,
225312,ул. Барановичская 74,г. Барановичи,Беларусь,BY,
225409,пер. 2-й Советский 3,г. Барановичи,Беларусь,BY,
225411,ул. Пролетарская 48 корп. А оф. 50,г. Барановичи,Беларусь,BY,
225352,д. 21 оф. 153 (зд. Шампиньонницы),г. Барановичи,Беларусь,BY,
225409,ул. Хлебная 5,г. Барановичи,Беларусь,BY,
225409,а/я 54,г. Барановичи,Беларусь,BY,
225413,ул. Брестская 295 корп. А,г. Барановичи,Беларусь,BY,
225417,ул. Тельмана 102 пом. 2,г. Барановичи,Беларусь,BY,
225417,ул. Тельмана 100,г. Барановичи,Беларусь,BY,
225402,ул. Брестская 124,г. Барановичи,Беларусь,BY,
225409,б-р Штоккерау 5 пом. 1,г. Барановичи,Беларусь,BY,
225415,ул. 50 лет ВЛКСМ 3,г. Барановичи,Беларусь,BY,
225328,ул. Едунова 6,г. Барановичи,Беларусь,BY,
225409,ул. Брестская 224 корп. Б,г. Барановичи,Беларусь,BY,
225341,ул. Центральная 1,г. Барановичи,Беларусь,BY,
225411,ул. Пролетарская 48 корп. А оф. 33,г. Барановичи,Беларусь,BY,
225406,ул. Комсомольская 89,г. Барановичи,Беларусь,BY,
225331,Слонимское шоссе 50 корп. А,г. Барановичи,Беларусь,BY,
225409,ул. 17 Сентября 19,г. Барановичи,Беларусь,BY,
225409,ул. Холостякова 63-4,г. Барановичи,Беларусь,BY,
225409,ул. Вильчковского 184 корп. Е,г. Барановичи,Беларусь,BY,
225328,ул. Брестская 224 корп. А,г. Барановичи,Беларусь,BY,
225409,ул. Чернышевского 94/5,г. Барановичи,Беларусь,BY,
225320,ул. Базисная 5 корп. А,г. Барановичи,Беларусь,BY,
225413,ул. Бадака 68 корп. А оф. 1,г. Барановичи,Беларусь,BY,
225411,ул. Пролетарская 48А,г. Барановичи,Беларусь,BY,
225362,пер. 9 Мая 4,г. Барановичи,Беларусь,BY,
225409,ул. Фроленкова 110,г. Барановичи,Беларусь,BY,
225334,ул. Молодежная 4,г. Барановичи,Беларусь,BY,
225320,ул. Циолковского 50,г. Барановичи,Беларусь,BY,
225320,ул. Брестская 138 корп. А,г. Барановичи,Беларусь,BY,
225409,ул. Ленина 2,г. Барановичи,Беларусь,BY,
225406,ул. М. Казея 16,г. Барановичи,Беларусь,BY,
225404,ул. Чурилина 11В,г. Барановичи,Беларусь,BY,
225407,ул. Вильчковского 56,г. Барановичи,Беларусь,BY,
225339,ул. Молодежная,г. Барановичи,Беларусь,BY,
225409,ул. Советская 142,г. Барановичи,Беларусь,BY,
225320,пер. Физкультурный 8,г. Барановичи,Беларусь,BY,
225409,ул. Димитрова 9 пом. 4,г. Барановичи,Беларусь,BY,
