product_name,category_name,category_code,subcategory_name,subcategory_code
T656/604,Товары,00000000270,Детали и запчасти,00000000804
Балансир,Детали и запчасти,00000000804,к вертолетам,00000000805
Лопасти верхние (2шт.),Детали и запчасти,00000000804,к вертолетам,00000000805
Держатель верхних лопастей (верхняя часть),Детали и запчасти,00000000804,к вертолетам,00000000805
Держатель нижних лопастей (нижняя часть) ,Детали и запчасти,00000000804,к вертолетам,00000000805
Лопасти нижние (2шт.),Детали и запчасти,00000000804,к вертолетам,00000000805
Двигатель верхних лопастей,Детали и запчасти,00000000804,к вертолетам,00000000805
Кабина,Детали и запчасти,00000000804,к вертолетам,00000000805
Плата,Детали и запчасти,00000000804,к вертолетам,00000000805
Рама основная,Детали и запчасти,00000000804,к вертолетам,00000000805
Лыжи,Детали и запчасти,00000000804,к вертолетам,00000000805
Вал внутренний с головкой ротора в сборе,Детали и запчасти,00000000804,к вертолетам,00000000805
Винт хвостовой,Детали и запчасти,00000000804,к вертолетам,00000000805
Балка хвостовая в сборе,Детали и запчасти,00000000804,к вертолетам,00000000805
Вал внешний,Детали и запчасти,00000000804,к вертолетам,00000000805
Шестерня нижняя ,Детали и запчасти,00000000804,к вертолетам,00000000805
Крышка верхняя,Детали и запчасти,00000000804,к вертолетам,00000000805
Тяга соединительная короткая,Детали и запчасти,00000000804,к вертолетам,00000000805
Тяга сервопривода,Детали и запчасти,00000000804,к вертолетам,00000000805
Сервопривод,Детали и запчасти,00000000804,к вертолетам,00000000805
Пульт управления для MJX F645,Детали и запчасти,00000000804,к вертолетам,00000000805
Пульт управления для MJX F647,Детали и запчасти,00000000804,к вертолетам,00000000805
Балансир,Детали и запчасти,00000000804,к вертолетам,00000000805
Тяга соединительная,Детали и запчасти,00000000804,к вертолетам,00000000805
Держатель лопастей (верхних) ,Детали и запчасти,00000000804,к вертолетам,00000000805
Шестерня верхняя с валом в сборе,Детали и запчасти,00000000804,к вертолетам,00000000805
Шестерня нижняя ,Детали и запчасти,00000000804,к вертолетам,00000000805
Пропеллер А,Детали и запчасти,00000000804,к мультикоптерам,00000001802
Пропеллер B,Детали и запчасти,00000000804,к мультикоптерам,00000001802
Пропеллер B,Детали и запчасти,00000000804,к мультикоптерам,00000001802
Пропеллер А,Детали и запчасти,00000000804,к мультикоптерам,00000001802
Корпус (рама) квадрокоптера,Детали и запчасти,00000000804,к мультикоптерам,00000001802
Держатель двигателя,Детали и запчасти,00000000804,к мультикоптерам,00000001802
Пульт управления для GS880/881,Детали и запчасти,00000000804,к вертолетам,00000000805
Пульт управления 27 для HQ558,Детали и запчасти,00000000804,к танкам,00000001503
Пульт управления 40 для HQ558,Детали и запчасти,00000000804,к танкам,00000001503
Корпус дифференциала ,Детали и запчасти,00000000804,к автомоделям,00000001131
Вал карданный,Детали и запчасти,00000000804,к автомоделям,00000001131
Шестигранник (хекс) колеса (4шт.),Детали и запчасти,00000000804,к автомоделям,00000001131
Дифференциал в сборе,Детали и запчасти,00000000804,к автомоделям,00000001131
Шестерня с валом в сборе,Детали и запчасти,00000000804,к вертолетам,00000000805
Зарядное устройство USB (новая версия),Детали и запчасти,00000000804,к вертолетам,00000000805
"Аккумулятор Li-poly 3,7V 130mah",Детали и запчасти,00000000804,к вертолетам,00000000805
Держатели  верхних лопастей с головкой ротора в сборе,Детали и запчасти,00000000804,к вертолетам,00000000805
Шестерни (набор из 4шт),Детали и запчасти,00000000804,к вертолетам,00000000805
Лыжи,Детали и запчасти,00000000804,к вертолетам,00000000805
Лопасти (набор из 4 шт.) верхние и нижние,Детали и запчасти,00000000804,к вертолетам,00000000805
Шестерня 24Т(01),Детали и запчасти,00000000804,к автомоделям,00000001131
Шестерня 24Т(02),Детали и запчасти,00000000804,к автомоделям,00000001131
"Гайка самоконтрящаяся M4 с фланцем и насечками (высота 5,65мм) (10шт.)",Товары,00000000270,Аксессуары и комплектующие,00000000481
"Гайка самоконтрящаяся M3 (высота 3,67мм) (10шт.)",Товары,00000000270,Аксессуары и комплектующие,00000000481
Корпус монстр зеленый с наклейками,Детали и запчасти,00000000804,к автомоделям,00000001131
Корпус багги черный,Детали и запчасти,00000000804,к автомоделям,00000001131
Корпус багги желтый,Детали и запчасти,00000000804,к автомоделям,00000001131
Корпус трагги зеленый с наклейками,Детали и запчасти,00000000804,к автомоделям,00000001131
Корпус трагги серебро с наклейками,Детали и запчасти,00000000804,к автомоделям,00000001131
"Сервопривод standart 03,5кг/0,17сек/6V/plastik/ZD",,,Товары,00000000270
Бампер передний/задний,Детали и запчасти,00000000804,к автомоделям,00000001131
Держатель ступицы С-хаб (пара) (металл),Детали и запчасти,00000000804,к автомоделям,00000001131
Шестигранник (хекс) колеса (4шт.) (металл),Детали и запчасти,00000000804,к автомоделям,00000001131
Ступица передняя (пара) (металл) ,Детали и запчасти,00000000804,к автомоделям,00000001131
Ступица задняя (металл) (пара),Детали и запчасти,00000000804,к автомоделям,00000001131
Тяги передние верхние регулируемые (пара) (багги),Детали и запчасти,00000000804,к автомоделям,00000001131
Ступица передняя (поворотный кулак) металл (пара),Детали и запчасти,00000000804,к автомоделям,00000001131
Отсек радиоприемника,Детали и запчасти,00000000804,к автомоделям,00000001131
Рейка рулевая в сборе,Детали и запчасти,00000000804,к автомоделям,00000001131
Корпус шестерни (защитный) в сборе,Детали и запчасти,00000000804,к автомоделям,00000001131
Крышка аккумуляторного отсека,Детали и запчасти,00000000804,к автомоделям,00000001131
Стойки аккумуляторной крышки (2шт.),Детали и запчасти,00000000804,к автомоделям,00000001131
Бампер передний/задний,Детали и запчасти,00000000804,к автомоделям,00000001131
Тяга сервопривода в сборе ,Детали и запчасти,00000000804,к автомоделям,00000001131
"Тяга соединительная задняя верхняя А 43,5мм (2шт.)",Детали и запчасти,00000000804,к автомоделям,00000001131
Тяга соединительная передняя верхняя В 38мм (2шт.),Детали и запчасти,00000000804,к автомоделям,00000001131
"Тяга рулевая С 35,5мм (2шт.)",Детали и запчасти,00000000804,к автомоделям,00000001131
Тяга сервопривода D 25mm,Детали и запчасти,00000000804,к автомоделям,00000001131
я Колесо в сборе 1/18 багги (58028+58029) (пара) HSP,,,Товары,00000000270
Ось (пин) нижнего рычага A ?2*38 (1шт.),Детали и запчасти,00000000804,к автомоделям,00000001131
Ось колеса (2шт.),Детали и запчасти,00000000804,к автомоделям,00000001131
Шуруп 2*18 (1шт.),Детали и запчасти,00000000804,к автомоделям,00000001131
