product,vendor code,code,group code,main provider,main manufacturer,tax,country-provider,discount,price
T656/604,,1985,MJX,,,,,5,8.2
Балансир,T656-002,1986,T656/604,MJX,MJX,20%,КИТАЙ ,5,6.55
Лопасти верхние (2шт.),T656-004,1987,T656/604,MJX,MJX,20%,КИТАЙ ,5,9.1
Держатель верхних лопастей (верхняя часть),T656-005,1988,T656/604,MJX,MJX,20%,КИТАЙ ,5,1.04
Держатель нижних лопастей (нижняя часть) ,T656-008,1989,T656/604,MJX,MJX,20%,КИТАЙ ,6,3.75
Лопасти нижние (2шт.),T656-009,1990,T656/604,MJX,MJX,20%,КИТАЙ ,5,20.4
Двигатель верхних лопастей,T656-013,1991,T656/604,MJX,MJX,20%,КИТАЙ ,7.5,4.3
Кабина,T656-017,1992,T656/604,MJX,MJX,20%,КИТАЙ ,7.5,3.58
Плата,T656-018,1993,T656/604,MJX,MJX,20%,КИТАЙ ,7.5,3.5
Рама основная,T656-020,1994,T656/604,MJX,MJX,20%,КИТАЙ ,7.5,3.75
Лыжи,T656-030,1995,T656/604,MJX,MJX,20%,КИТАЙ ,7.5,6.55
Вал внутренний с головкой ротора в сборе,T656-035,1996,T656/604,MJX,MJX,20%,КИТАЙ ,7.5,8.2
Винт хвостовой,T656-038,1997,T656/604,MJX,MJX,20%,КИТАЙ ,7.5,54.97
Балка хвостовая в сборе,T656-041,1998,T656/604,MJX,MJX,20%,КИТАЙ ,5,19.2
Вал внешний,T656-051,1999,T656/604,MJX,MJX,20%,КИТАЙ ,,2.39
Шестерня нижняя ,T656-053,2000,T656/604,MJX,MJX,20%,КИТАЙ ,,3.33
Крышка верхняя,F645-001,2001,F645,MJX,MJX,20%,КИТАЙ ,,5.3
Тяга соединительная короткая,F645-003,2003,F645,MJX,MJX,20%,КИТАЙ ,5,23.3
Тяга сервопривода,F645-009,2006,F645,MJX,MJX,20%,КИТАЙ ,6,42
Сервопривод,F645-016,2007,F645,MJX,MJX,20%,КИТАЙ ,6,1.88
Пульт управления для MJX F645,"F645 2,4TX",2009,F645,MJX,MJX,20%,КИТАЙ ,6,2.5
Пульт управления для MJX F647,"F647 2,4TX",2011,F647,MJX,MJX,20%,КИТАЙ ,6,8.2
Балансир,GS252-001,2014,GS252,Maxspeed,Maxspeed,20%,КИТАЙ ,6,6.55
Тяга соединительная,GS252-002,2015,GS252,Maxspeed,Maxspeed,20%,КИТАЙ ,5,8.69
Держатель лопастей (верхних) ,GS252-004,2016,GS252,Maxspeed,Maxspeed,20%,КИТАЙ ,5,39.44
Шестерня верхняя с валом в сборе,GS252-017,2017,GS252,Maxspeed,Maxspeed,20%,КИТАЙ ,,42
Шестерня нижняя ,GS252-018,2018,GS252,Maxspeed,Maxspeed,20%,КИТАЙ ,,1.2
Пропеллер А,GS860-2,2019,GS860,Maxspeed,Maxspeed,20%,КИТАЙ ,,9.17
Пропеллер B,GS860-3,2020,GS860,Maxspeed,Maxspeed,20%,КИТАЙ ,5,8.59
Пропеллер B,GS860-4,2021,GS860,Maxspeed,Maxspeed,20%,КИТАЙ ,5,36.8
Пропеллер А,GS860-5,2022,GS860,Maxspeed,Maxspeed,20%,КИТАЙ ,,0.67
