GUID,,Company,EmailAddress,ZipCode,provider_address,city
0ee8bebc-0305-4b52-a04f-9472d39730cf,,Buckeye Furniture,Camle1976@einrot.com,53202,808 Five Points,Baltimore
ef4c71e0-04e4-4af5-ad88-742bb0bcb591,,I. Magnin,Mucithe@teleworm.us,53703,2912 Sugarfoot Lane,Converse
ce109b2b-3206-4575-9e69-2ffe25652d28,,Helios Air,Thister@jourrapide.com,94108,4381 Moonlight Drive,Pleasantville
7bc6db7d-d460-401c-ad55-563aefaeb9cd,,Garden Guru,Ginstay@einrot.com,61201,1260 Bingamon Branch Road,Middletown
1651e9a0-de13-4fce-b459-c43c9c714c7c,,Merry-Go-Round,Ablike@einrot.com,35808,651 Jim Rosa Lane,Dublin
e2b0d6af-c74c-41d1-9a63-83ab6cfc150c,,Skaggs-Alpha Beta,Themn1950@jourrapide.com,60644,3718 Nutters Barn Lane,West Des Moines
5bee9d32-074d-4753-8b33-99f1b628c175,,Country Club Markets,Youse1996@rhyta.com,90044,1400 Horizon Circle,University Place
31fc1eb3-5e82-4219-9157-33fc7a33e2e7,,The Sample,Witich@fleckens.hu,45036,1757 Park Street,Oakland
b53463f0-9a96-42ef-aab8-cd8b61ddcc48,,Tape World,Scul1972@dayrep.com,15219,1498 Colonial Drive,Bryan
1b27c9da-6bfb-427d-ab60-568461c3ddd5,,Mighty Casey's,Mence1988@cuvox.de,77006,1542 Kerry Way,Burbank
21f722a2-b337-4c0a-8fa8-1bac4aeca998,,Kelly and Cohen,Remplume@cuvox.de,11206,2256 Leo Street,Broomfield
5b043012-f981-4a19-bded-f512a10a0658,,Pointers,Catelleaden@armyspy.com,94559,248 Marigold Lane,Miami
d54181ef-6683-48b3-ae65-9462c757338f,,Music Boutique,Stime1947@armyspy.com,10004,2599 Pinewood Avenue,Marquette
8914c21a-ff9d-4cae-9e90-274dc0a7a7ea,,Montana's Cookhouse,Peoppon57@rhyta.com,12180,69 Front Street,Southfield
b09f99a0-76cc-4041-a85c-3bd50549228b,,Chatham,Tworris@rhyta.com,21701,3110 Hannah Street,Charlotte
739e0a85-1213-47cc-87c5-392f5f407238,,Kragen Auto Parts,Thertualong@jourrapide.com,50240,1959 Black Oak Hollow Road,San Francisco
14d8a495-56d7-4d99-b6d2-3c3b55f7bd70,,Plunkett Home Furnishings,Knowers@einrot.com,80487,892 Valley Drive,Eagleville
dd5c4dbf-f725-4105-8c85-338eddf2c2af,,Exact Solutions,Sainklicho@cuvox.de,47274,3123 Buck Drive,Salt Lake City
73d061d6-e0f3-4979-8a5d-307e11da644c,,Williams Bros.,Extuality@cuvox.de,02401,3519 Virginia Street,Chicago
