"AAA,""Inova Alexandria Hospital"",""United States"",""Ine"",""Marshall Islands""";
"AAB,""Big Muddy Ranch"",""United States"",""Ilha da Jipoia"",""Brazil""";
"AAC,""Praia da Piraquara"",""Brazil"",""Simons"",""United States""";
"AAD,""Aberdeen"",""Zimbabwe"",""Medical College of Georgia"",""United States""";
"AAE,""Arzanah"",""United Arab Emirates"",""Abbotsford"",""Canada""";
"AAF,""Sugar Creek Farm"",""United States"",""Aghajari"",""Iran""";
"AAG,""Fazenda Rancho Esperanca"",""Brazil"",""Asinuwa Airstrip"",""Papua New Guinea""";
"AAH,""Mali"",""Indonesia"",""Shelby County"",""United States""";
"AAI,""El Santuario"",""Colombia"",""Amoneburg Airfield"",""Germany""";
"AAJ,""Vesthimmerlands Flyveplads"",""Denmark"",""Whalen"",""United States""";
"AAK,""J&J Crop Dusters Inc"",""United States"",""Ilha Josefa"",""Brazil""";
"AAL,""Table Mountain Field"",""United States"",""Alto Palena"",""Chile""";
"AAM,""Arnstein"",""Canada"",""Armidale - Lambert Park Helipad"",""Australia""";
"AAN,""Fazenda Costa Rica"",""Brazil"",""Labadle"",""Puerto Rico""";
"AAO,""Alroy Downs"",""Australia"",""Chacalluta"",""Chile""";
"AAP,""Westford Airstrip"",""United States"",""Arismendi"",""Venezuela""";
"AAQ,""Aseki"",""Papua New Guinea"",""Finca 12"",""Honduras""";
"AAR,""Ambunti"",""Papua New Guinea"",""Performance Helicopters"",""United States""";
"AAS,""Addis Ababa Bole International"",""Ethiopia"",""Fazenda Ponte Quinha"",""Brazil""";
"AAT,""Aitbuzum East"",""Kazakhstan"",""Punton Private"",""United States""";
"AAU,""Presbyterian Hospital Of Allen"",""United States"",""Alula"",""Somalia""";
"AAV,""Albertville Regional/Thomas J Brumlik Field"",""United States"",""Alvsbyn"",""Sweden""";
"AAW,""Ayacara"",""Chile"",""Artesia Municipal"",""United States""";
"AAX,""Base Principal Celta"",""Colombia"",""Wxkw"",""United States""";
