LOC_CODE;LOCATION_TYPE;LOCATION_NAME;DIS_CODE;DISTRICT;REG_CODE;REGION
L12668;д.;Абакумы;D067;Лоевский;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L14352;х.;Абалишки;D022;Вороновский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L09096;д.;Абольцы;D042;Жлобинский;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L23005;д.;Абраимовка;D035;Дрибинский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L14289;д.;Абрамишки;D022;Вороновский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L14233;д.;Абрамовка;D097;Речицкий;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L01063;д.;Абрамово;D048;Каменецкий;R01;БРЕСТСКАЯ ОБЛАСТЬ
L06940;д.;Абрамовщина;D094;Поставский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L17402;д.;Абрамовщина-1;D107;Сморгонский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L17403;д.;Абрамовщина-3;D107;Сморгонский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L24770;д;Абрамы;D081;Мядельский;R06;МИНСКАЯ ОБЛАСТЬ
L16379;д.;Абремовщина;D078;Молодечненский;R06;МИНСКАЯ ОБЛАСТЬ
L16067;д.;Абрицкая Слобода;D073;Минский;R06;МИНСКАЯ ОБЛАСТЬ
L08192;д.;Абузерье;D118;Чашникский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L16794;д.;Авангард;D047;Калинковичский;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L15526;д.;Августово;D003;Березинский;R06;МИНСКАЯ ОБЛАСТЬ
L04034;д.;Авданьки;D029;Городокский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L03022;д.;Авдеевичи;D019;Витебский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L06491;д.;Авдеево;D093;Полоцкий;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L04585;д.;Авдеенки;D029;Городокский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L04563;д.;Авдейково;D029;Городокский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L12633;д.;Авены;D089;Островецкий;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L25804;д.;Авины;D108;Солигорский;R06;МИНСКАЯ ОБЛАСТЬ
L05271;д.;Авласенки;D074;Миорский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L05112;д.;Авласово;D063;Лепельский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L06262;д.;Авласы;D094;Поставский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L21608;п.;Аврамовка;D123;Шкловский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L06730;д.;Авсеево;D102;Сенненский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L03499;д.;Авселево;D019;Витебский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L20471;д.;Авсимовичи;D007;Бобруйский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L23959;д.;Автуховка;D051;Климовичский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L03084;д.;Автушково;D019;Витебский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L20606;д.;Авхимки;D117;Чаусский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L07709;д.;Авхуты;D112;Толочинский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L23811;х.;Авштокальня;D010;Браславский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L07912;д.;Агальница Большая;D122;Шарковщинский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L15719;д.;Агарки;D073;Минский;R06;МИНСКАЯ ОБЛАСТЬ
L12238;д.;Агатово;D043;Зельвенский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L22463;д.;Агеевка;D076;Могилевский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L25675;д;Агеево;D103;Славгородский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L26223;д.;Агрономическая;D087;Оршанский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L25555;д;Агула;D088;Осиповичский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L19441;д.;Агульс;D125;Щучинский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L21438;п.;Адаменка;D014;Быховский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L05001;аг.;Адаменки;D065;Лиозненский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L03157;д.;Адамишки;D010;Браславский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L14548;д.;Адамки;D021;Воложинский;R06;МИНСКАЯ ОБЛАСТЬ
L17039;д.;Адамовичи;D078;Молодечненский;R06;МИНСКАЯ ОБЛАСТЬ
L05143;д.;Адамовка;D063;Лепельский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L00952;д.;Адамово;D036;Дрогичинский;R01;БРЕСТСКАЯ ОБЛАСТЬ
L03838;д.;Адамовцы;D024;Глубокский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L10189;д.;Адамовщина;D090;Ошмянский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L12319;д.;Адамполь;D084;Новогрудский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L06379;д.;Адамполье;D093;Полоцкий;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L15915;д.;Адасевщина;D032;Дзержинский;R06;МИНСКАЯ ОБЛАСТЬ
L13919;д.;Адаси;D091;Петриковский;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L00327;д.;Адаховщина;D001;Барановичский;R01;БРЕСТСКАЯ ОБЛАСТЬ
L13710;д.;Адверники;D022;Вороновский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L07400;д.;Адворица;D114;Ушачский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L07572;д.;Адворня;D114;Ушачский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L07450;д.;Аделино;D114;Ушачский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L22962;д.;Адринищи;D113;Узденский;R06;МИНСКАЯ ОБЛАСТЬ
L02599;д.;Адымянишки;D010;Браславский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L24254;д.;Адынь;D119;Червенский;R06;МИНСКАЯ ОБЛАСТЬ
L13241;х.;Аели;D089;Островецкий;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L14018;д.;Ажуболи;D022;Вороновский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L18465;д.;Ажугеры;D107;Сморгонский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L14019;д.;Ажукольни;D022;Вороновский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L06941;д.;Ажуройсти;D094;Поставский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L07477;д.;Азаренки;D114;Ушачский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L17128;д.;Азаричи;D104;Слонимский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L17697;д.;Азарки-Дворище;D081;Мядельский;R06;МИНСКАЯ ОБЛАСТЬ
L17698;д.;Азарки-Пудовинка;D081;Мядельский;R06;МИНСКАЯ ОБЛАСТЬ
L17699;д.;Азарки-Старые;D081;Мядельский;R06;МИНСКАЯ ОБЛАСТЬ
L25537;д;Азаровка;D076;Могилевский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L09275;д.;Азделино;D027;Гомельский;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L08376;д.;Азета;D122;Шарковщинский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L05972;д.;Азино;D093;Полоцкий;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L19649;д.;Айнаровичи;D066;Логойский;R06;МИНСКАЯ ОБЛАСТЬ
L17731;д.;Айцвилы;D107;Сморгонский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L10124;д.;Акановичи;D055;Кореличский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L13863;х.;Акартели;D089;Островецкий;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L17129;д.;Акачи;D104;Слонимский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L06308;х.;Акелы;D094;Поставский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L10210;д.;Акменеи;D090;Ошмянский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L13920;д.;Акрионы;D091;Петриковский;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L14993;д.;Аксаковщина;D073;Минский;R06;МИНСКАЯ ОБЛАСТЬ
L17225;д.;Аксамиты;D054;Копыльский;R06;МИНСКАЯ ОБЛАСТЬ
L24555;д.;Аксеньковичи;D002;Белыничский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L02421;д.;Аксютово;D010;Браславский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L17623;д.;Актавия;D061;Крупский;R06;МИНСКАЯ ОБЛАСТЬ
L12998;д.;Акулинка;D077;Мозырский;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L22814;д.;Акулинцы;D076;Могилевский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L08747;д.;Акшинка;D016;Ветковский;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L23349;д.;Ала;D049;Кировский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L05464;д.;Алантьево;D087;Оршанский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L09550;х.;Алаховщина;D090;Ошмянский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L07913;д.;Алашки Большие;D122;Шарковщинский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L06902;д.;Алашковщина;D094;Поставский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L01844;д.;Алейники;D006;Бешенковичский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L13242;х.;Алекса;D089;Островецкий;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L05849;д.;Александрина;D074;Миорский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L18611;д.;Александрино;D066;Логойский;R06;МИНСКАЯ ОБЛАСТЬ
L04688;д.;Александрия;D037;Дубровенский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L09204;д.;Александров;D042;Жлобинский;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L11938;д.;Александровичи;D038;Дятловский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L01720;д.;Александровка;D095;Пружанский;R01;БРЕСТСКАЯ ОБЛАСТЬ
L24414;д.;Александровка-1;D103;Славгородский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L19990;д.;Александровка-2;D103;Славгородский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L02327;д.;Александрово;D006;Бешенковичский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L06810;д.;Александровская;D102;Сенненский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L12258;д.;Александровщина;D043;Зельвенский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L00945;д.;Алексеевичи;D036;Дрогичинский;R01;БРЕСТСКАЯ ОБЛАСТЬ
L08533;д.;Алексеевка;D009;Брагинский;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L04623;д.;Алексеево;D029;Городокский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L02813;д.;Алексеевцы;D015;Верхнедвинский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L00644;д.;Алексейки;D045;Ивацевичский;R01;БРЕСТСКАЯ ОБЛАСТЬ
L07184;д.;Алексиничи;D102;Сенненский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L12225;д.;Алексичи;D043;Зельвенский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L18593;д.;Алекшицы;D066;Логойский;R06;МИНСКАЯ ОБЛАСТЬ
L13711;д.;Алекшишки;D022;Вороновский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L07630;д.;Аленовичи;D112;Толочинский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
