TYPE_CODE;TYPE;SUBCAT_CODE;SUBCATEGORY;CAT_CODE;CATEGORY
T001;Платья-миди;SC075;Платья;C03;Женская одежда
T002;Футболки-поло;SC106;Футболки и топы;C03;Женская одежда
T003;Кроп-топы;SC106;Футболки и топы;C03;Женская одежда
T004;Капри;SC028;Брюки и шорты;C03;Женская одежда
T005;Блузки;SC001;Блузки и рубашки;C03;Женская одежда
T006;Пачка;SC013;Юбки;C03;Женская одежда
T007;Трапеция;SC013;Юбки;C03;Женская одежда
T008;Дафлкоты;SC108;Верхняя одежда;C03;Женская одежда
T009;Пальто oversize;SC108;Верхняя одежда;C03;Женская одежда
T010;Пиджаки;SC089;Пиджаки и жакеты;C03;Женская одежда
T011;Бермуды;SC041;Одежда для дома;C03;Женская одежда
T012;Жилеты;SC041;Одежда для дома;C03;Женская одежда
T013;Кюлоты;SC041;Одежда для дома;C03;Женская одежда
T014;Ночные сорочки;SC041;Одежда для дома;C03;Женская одежда
T015;Костюмы классические и вечерние;SC064;Костюмы;C03;Женская одежда
T016;Бутсы;SC032;Кеды и кроссовки;C01;Женская обувь
T017;Кеды;SC032;Кеды и кроссовки;C01;Женская обувь
T018;На танкетке;SC079;Туфли и лоферы;C01;Женская обувь
T019;Замшевые;SC079;Туфли и лоферы;C01;Женская обувь
T020;Чешки;SC002;Балетки и чешки;C01;Женская обувь
T021;Пантолеты;SC110;Шлепанцы и аквасоки;C01;Женская обувь
T022;Высокий каблук;SC066;Полусапожки;C01;Женская обувь
T023;На каблуке;SC093;Сапоги;C01;Женская обувь
T024;На танкетке;SC093;Сапоги;C01;Женская обувь
T025;Топсайдеры;SC111;Топсайдеры;C01;Женская обувь
T026;Замшевые;SC034;Ботинки;C01;Женская обувь
T027;Спортивные;SC034;Ботинки;C01;Женская обувь
T028;Высокие;SC005;Угги;C01;Женская обувь
T029;Низкие;SC005;Угги;C01;Женская обувь
T030;Танга;SC069;Трусы;C06;Женское белье и купальники
T031;Танк;SC047;Пляжная мода;C06;Женское белье и купальники
T032;Трусы;SC049;Корректирующее белье;C06;Женское белье и купальники
T033;Термоджемперы;SC094;Термобелье;C06;Женское белье и купальники
T034;Термомайки;SC094;Термобелье;C06;Женское белье и купальники
T035;Пояса для чулок;SC020;Пояса для чулок;C06;Женское белье и купальники
T036;Бриджи;SC095;Брюки и шорты;C04;Мужская одежда
T037;Однотонные;SC036;Рубашки;C04;Мужская одежда
T038;Дафлкоты;SC114;Верхняя одежда;C04;Мужская одежда
T039;Дубленки;SC114;Верхняя одежда;C04;Мужская одежда
T040;Полупальто;SC114;Верхняя одежда;C04;Мужская одежда
T041;Ультралегкие пуховики;SC114;Верхняя одежда;C04;Мужская одежда
T042;Джемперы;SC072;Джемперы и кардиганы;C04;Мужская одежда
T043;Мантии;SC008;Мантии;C04;Мужская одежда
T044;Трикотажные;SC073;Жилеты;C04;Мужская одежда
T045;Бриджи;SC053;Одежда для дома;C04;Мужская одежда
T046;Костюмы;SC053;Одежда для дома;C04;Мужская одежда
T047;Полукомбинезоны;SC054;Комбинезоны;C04;Мужская одежда
T048;Кеды;SC081;Кеды и кроссовки;C07;Мужская обувь
T049;Высокие;SC055;Ботинки;C07;Мужская обувь
T050;Кожаные;SC055;Ботинки;C07;Мужская обувь
T051;На шнуровке;SC055;Ботинки;C07;Мужская обувь
T052;Замшевые;SC056;Туфли;C07;Мужская обувь
T053;Броги;SC056;Туфли;C07;Мужская обувь
T054;Дерби;SC056;Туфли;C07;Мужская обувь
T055;Монки;SC056;Туфли;C07;Мужская обувь
T056;Резиновые сапоги;SC084;Сапоги и унты;C07;Мужская обувь
T057;Комплекты белья;SC058;Комплекты белья;C05;Мужское белье
T058;Брюки;SC025;Одежда для девочек;C02;Детская одежда
T059;Шорты;SC025;Одежда для девочек;C02;Детская одежда
T060;Туфли;SC063;Обувь для мальчиков;C02;Детская одежда
T061;Кимоно спортивное;SC027;Спортивное для детей;C02;Детская одежда
T062;Лонгсливы;SC027;Спортивное для детей;C02;Детская одежда
T063;Получешки;SC027;Спортивное для детей;C02;Детская одежда
T064;Тайтсы;SC027;Спортивное для детей;C02;Детская одежда
T065;Топы;SC027;Спортивное для детей;C02;Детская одежда
T066;Джинсовые платья;SC075;Платья;C03;Женская одежда
T067;На тонких бретелях;SC106;Футболки и топы;C03;Женская одежда
T068;Бриджи;SC028;Брюки и шорты;C03;Женская одежда
T069;Тайтсы;SC028;Брюки и шорты;C03;Женская одежда
T070;Кофты;SC040;Джемперы и кардиганы;C03;Женская одежда
T071;Пуловеры;SC040;Джемперы и кардиганы;C03;Женская одежда
T072;Миди;SC013;Юбки;C03;Женская одежда
T073;Карандаш;SC013;Юбки;C03;Женская одежда
T074;Накидки;SC108;Верхняя одежда;C03;Женская одежда
T075;Парки;SC108;Верхняя одежда;C03;Женская одежда
T076;Пончо;SC108;Верхняя одежда;C03;Женская одежда
T077;С высокой посадкой;SC077;Джинсы;C03;Женская одежда
T078;Капри;SC041;Одежда для дома;C03;Женская одежда
T079;Полукомбинезоны;SC041;Одежда для дома;C03;Женская одежда
T080;Свитшоты;SC041;Одежда для дома;C03;Женская одежда
T081;Футболки-поло;SC041;Одежда для дома;C03;Женская одежда
T082;Комбинезоны;SC078;Комбинезоны;C03;Женская одежда
T083;Удлиненные;SC029;Жилеты;C03;Женская одежда
T084;Кроссовки;SC032;Кеды и кроссовки;C01;Женская обувь
T085;Сникеры;SC032;Кеды и кроссовки;C01;Женская обувь
T086;Слиперы;SC079;Туфли и лоферы;C01;Женская обувь
T087;На каблуке;SC079;Туфли и лоферы;C01;Женская обувь
T088;Полупальцы;SC002;Балетки и чешки;C01;Женская обувь
