PRODUCT_CODE;VENDOR_CODE;PRODUCT_NAME;PRODUCT_COLOR;BRAND;TYPE
PR00381;87469827;Decker;Blue;B4014;T328
PR00382;17751429;Holt;Blue;B3114;T230
PR00383;27635777;Jackson;Purple;B3671;T155
PR00384;08515079;Shetler;Green;B3821;T233
PR00385;12751799;Smith;Blue;B2384;T157
PR00386;64084311;Miller;Blue;B2901;T277
PR00387;74536735;Caywood;Purple;B3745;T344
PR00388;61281449;Marks;Silver;B3855;T277
PR00389;79672991;Caffey;Silver;B2477;T264
PR00390;85925928;Hoots;Green;B4295;T261
PR00391;48679051;Smith;Blue;B4534;T336
PR00392;24784945;Woods;Blue;B3481;T312
PR00393;48944316;Thompson;Green;B2555;T293
PR00394;01112922;Peterson;Black;B2511;T191
PR00395;88930439;Noel;Red;B3262;T304
PR00396;79210290;Lawrence;Blue;B4494;T335
PR00397;79493135;Lopez;Blue;B4460;T252
PR00398;17053516;Hammonds;Blue;B3955;T247
PR00399;87755489;Ledger;Blue;B5271;T301
PR00400;24313820;Brisco;Blue;B3766;T352
PR00401;50875664;Burns;Purple;B4655;T155
PR00402;31784569;Casey;Black;B4809;T327
PR00403;80307972;Fenn;Black;B5250;T250
PR00404;60410506;Ruiz;Blue;B3276;T287
PR00405;91390303;McCoy;Orange;B1874;T322
PR00406;85538309;Palacios;Blue;B3819;T244
PR00407;39326391;Nestor;Blue;B2935;T131
PR00408;24698165;Davis;Blue;B3069;T289
PR00409;74961830;Coffman;Green;B4376;T358
PR00410;64514441;Swisher;Blue;B4305;T164
PR00411;84834027;Eastwood;Green;B3311;T236
PR00412;78755080;Becker;Black;B4392;T325
PR00413;82155612;Benjamin;Purple;B3314;T301
PR00414;01763596;Cannon;Blue;B4014;T341
PR00415;92433539;Carrico;Blue;B4750;T242
PR00416;53250137;Jordan;Blue;B3584;T237
PR00417;43520379;Arndt;Blue;B3734;T264
PR00418;35916685;Brown;Green;B3929;T292
PR00419;78573262;Dukes;Green;B2076;T358
PR00420;19810360;Prendergast;Silver;B4241;T357
PR00421;31159583;Anderson;Purple;B3452;T177
PR00422;92980909;Lamere;Blue;B4684;T306
PR00423;98172134;Long;Blue;B4261;T353
PR00424;07721209;Prather;Purple;B3331;T262
PR00425;01324622;Loving;Blue;B4099;T229
PR00426;91976246;Vazquez;Blue;B4845;T296
PR00427;60546179;Hillard;Red;B4550;T246
PR00428;83323266;Ryan;Blue;B4209;T238
PR00429;79808034;Huston;Red;B3855;T370
PR00430;50944069;Rodriguez;Green;B2659;T277
PR00431;73397728;Brown;Blue;B4223;T246
PR00432;88405886;Faircloth;Blue;B4615;T161
PR00433;26589813;Franz;Blue;B3675;T227
PR00434;09265897;Armstrong;Black;B4061;T222
PR00435;32224435;Cummings;Blue;B4095;T294
PR00436;34580473;Ho;Yellow;B4980;T262
PR00437;99517615;Hensley;Blue;B3615;T296
PR00438;46852892;Parker;Blue;B4181;T350
PR00439;10132398;Medina;Blue;B5091;T202
PR00440;11942944;Garcia;Blue;B2347;T248
PR00441;26608912;Light;Orange;B3425;T220
PR00442;50595786;Durgan;Blue;B4189;T405
PR00443;95931106;Beaton;Blue;B3694;T252
PR00444;47214342;Young;Purple;B5669;T325
PR00445;95781953;Scott;Green;B5529;T260
PR00446;62590941;Joiner;Orange;B2659;T313
PR00447;47819662;Gross;Blue;B4286;T199
PR00448;55701422;Spruell;Blue;B4977;T246
PR00449;35682200;Lewis;Green;B5386;T250
PR00450;91980429;Duffy;Blue;B4331;T256
PR00451;18044396;Krueger;Blue;B3483;T205
PR00452;99838359;Page;Green;B3921;T196
PR00453;91849073;Harris;Green;B6043;T294
PR00454;49517589;McNeal;Green;B1726;T239
PR00455;91752301;Knuth;Blue;B2100;T264
PR00456;07262712;Seltzer;Green;B6457;T241
PR00457;44927035;Greenberg;Orange;B2918;T287
PR00458;93207980;Stokes;Blue;B2337;T273
PR00459;30526236;Allen;Green;B3479;T241
PR00460;00270572;Dayton;Orange;B3056;T302
PR00461;38461217;Taylor;Blue;B4290;T333
PR00462;69313660;Sweeney;Purple;B3149;T156
PR00463;69720581;Edge;Blue;B3842;T333
PR00464;67959780;Greene;Green;B3835;T232
PR00465;78770030;Vance;Green;B6239;T388
PR00466;78821533;Keith;White;B3958;T269
PR00467;07101347;McCrory;Green;B5486;T292
PR00468;23398429;Russell;Blue;B5785;T215
PR00469;05642719;Greer;Silver;B3226;T273
PR00470;43191381;Edington;Blue;B2998;T270
PR00471;12893015;Martinez;Blue;B3240;T290
PR00472;89343001;Spurlock;Purple;B3837;T210
PR00473;28585811;Fuller;Orange;B3153;T241
PR00474;39723764;Castro;Blue;B2531;T210
PR00475;41825181;Fleming;Purple;B4751;T307
PR00476;14789051;Archer;Purple;B2803;T279
PR00477;77270955;Delacruz;Blue;B3939;T311
PR00478;50708829;Barnhill;Blue;B3847;T136
PR00479;10279419;Wheatley;Blue;B3964;T173
PR00480;80505691;Uribe;Blue;B4875;T341
PR00481;55377741;Sanderson;Green;B2178;T334
PR00482;50432335;Gee;White;B4733;T254
PR00483;01208836;Shaner;Orange;B3620;T169
PR00484;49983048;Gardner;Blue;B3063;T189
PR00485;16893947;Evans;Purple;B2568;T212
PR00486;78965940;Walter;Blue;B3842;T249
PR00487;10615063;Shelton;Green;B3505;T324
PR00488;53816120;Berry;Blue;B5710;T318
PR00489;79174224;Winslow;Green;B4524;T224
PR00490;39884955;Deans;Blue;B5187;T343
PR00491;00724462;Martinez;Green;B4489;T245
PR00492;56157640;Ferguson;Yellow;B3440;T286
PR00493;74996039;Chapman;Blue;B3470;T274
PR00494;10549585;Callison;Purple;B4154;T293
PR00495;90327705;Rooney;Blue;B2649;T299
PR00496;44747137;Weldon;Blue;B4526;T290
PR00497;93162409;Shank;Blue;B3107;T221
PR00498;99993930;Bailey;Blue;B3672;T248
PR00499;79242645;Hooten;Orange;B3251;T210
PR00500;27968381;Sullivan;Blue;B4187;T257
PR00501;38856929;Morrison;Blue;B4459;T293
PR00502;94243429;Peoples;Blue;B4350;T256
PR00503;53788943;Cox;Blue;B2577;T263
PR00504;43309054;Wells;Orange;B4419;T246
PR00505;28084899;Spears;Black;B3919;T246
PR00506;17777760;Bellanger;Purple;B4020;T277
PR00507;26604961;Blue;Blue;B4716;T265
PR00508;53974153;Salgado;Blue;B3489;T279
PR00509;21994359;Pounds;Purple;B4356;T240
PR00510;66928365;Mullen;Black;B3486;T286
PR00511;75665604;Benedetto;Green;B6283;T301
PR00512;44005651;Adams;Blue;B4891;T298
PR00513;41855021;Atwood;Red;B4582;T205
PR00514;65265817;Thomas;Brown;B4602;T303
PR00515;68288235;West;Purple;B3630;T258
PR00516;55621911;Williams;Black;B3450;T282
