id,EngType,Type,Description,StartDate,EndDate
1,DT,ДТ-К5,Дизельное топливо,1/1/2001,12/31/9999
2,DT2,ДТ,Дизельное топливо (до -32 С ),1/2/2001,12/31/9999
3,AI92,АИ-92-К5,Бензин АИ-92,1/3/2001,12/31/9999
4,BN92,BN-92,Бензин АИ-92 - национальная марка,1/3/2001,12/31/9999
5,AI95,АИ-95-К5,Бензин АИ-95,1/3/2001,12/31/9999
6,LPG,Газ ПБА,Сжиженный газ,1/3/2001,12/31/9999
7,AI98,АИ-98-К5,Бензин АИ-98,1/3/2001,11/29/2017
7,AI98,АИ-98-К5,Бензин АИ-98,11/29/2017,12/31/2018
7,AI98,АИ-98-К5,Бензин АИ-98,12/31/2018,12/31/2010
,,,,,
