10;Департамент корпоративных продаж и категорийного менеджмент.
20;Маркетинг и маркетинговые коммуникации.
30;Финансовый департамент
40;Департамент управления цепями поставок
50;Отдел персонала
60;Юридический отдел
70;Отдел корпоративных вопросов
80;Технический Департамент
90;Центр поддержки бизнеса
100;Бухгалтерия
110;Отдел внешнеэкономических связей
120;Hayчно-исследовательский отдел
130;Финансово-сбытовой отдел
140;Научно-исследовательская лаборатория
150;Бюро охраны окружающей среды
160;Отдел охраны труда и техники безопасности
170;Бюро подготовки кадров
180;IT отдел
