Код;Кол-во;Наименование;Автор;ISBN;Вес шт.(кг);Описание;Направление;Ссылка на cайт;Цена без скидки;Акционная скидка;Скидка корпоративная;Итоговая скидка;Итоговая цена;Стоимость;;
;0;Преломление;Бо Лотто;978-5-00100-925-2;0,00;Наука видеть иначе;Научпоп;https://www.mann-ivanov-ferber.ru/books/prelomlenie/?buytab=paperbook;0,00;15%;т ты меня;50%;0,00;0,00;0;
00000015758;0;Развивалки;Зина Сурова;978-5-00117-036-5;0,40;Увлекательные занятия для детей до трёх лет;Детские книги;https://www.mann-ivanov-ferber.ru/books/razvivalki/?buytab=paperbook;550,00;15%;т ты меня;50%;275,00;0,00;467,5;
00000015610;0;Баю-бай, до утра!;Кассандра Вебб, Аманда Фрэнси, Анастасия Орлова;978-5-00117-047-1;0,29;;Детские книги;https://www.mann-ivanov-ferber.ru/books/bayu-baj-do-utra/?buytab=paperbook;350,00;15%;т ты меня;50%;175,00;0,00;297,5;
00000015616;0;Пластилиновая лаборатория Чевостика;Людмила Сеньшова, Ольга Чтак;978-5-00117-028-0;0,51;;Детские книги;https://www.mann-ivanov-ferber.ru/books/plastilinovaya-laboratoriya-chevostika/?buytab=paperbook;570,00;15%;т ты меня;50%;285,00;0,00;484,5;
00000014654;0;Рисуем стикерами. 12 необычных картин;;978-5-00100-809-5;0,61;12 необычных картин;Творчество;https://www.mann-ivanov-ferber.ru/books/risuem-stikerami/?buytab=paperbook;1050,00;15%;т ты меня;50%;525,00;0,00;892,5;
00000014655;0;Рисуем стикерами. Шедевры. 12 великих картин;;978-5-00100-810-1;0,59;;Творчество;https://www.mann-ivanov-ferber.ru/books/risuem-stikerami-shedevryi/?buytab=paperbook;1050,00;15%;т ты меня;50%;525,00;0,00;892,5;
00000015457;0;12 месяцев с Чевостиком;Ася Ванякина, Анастасия Балатёнышева;978-5-00117-012-9;0,32;;Детские книги;https://www.mann-ivanov-ferber.ru/books/12-mesyacev-s-chevostikom/?buytab=paperbook;550,00;15%;т ты меня;50%;275,00;0,00;467,5;
00000015397;0;Вулканы. Научный комикс;Джон Чад;978-5-00100-993-1;0,37;;Комиксы;https://www.mann-ivanov-ferber.ru/books/vulkany-nauchnyj-komiks/?buytab=paperbook;560,00;15%;т ты меня;50%;280,00;0,00;476;
00000015396;0;Динозавры. Научный комикс;Эм-Кей Рид, Джо Флуд;978-5-00100-992-4;0,37;;Комиксы;https://www.mann-ivanov-ferber.ru/books/dinozavry-nauchnyj-komiks/?buytab=paperbook;560,00;15%;т ты меня;50%;280,00;0,00;476;
00000015677;0;Выдающийся лидер;Джон Зенгер, Джозеф Фолкман, Роберт Шервин-младший и Барбара Стил;978-5-00117-002-0;0,57;Как закрепить успех, развивая свои сильные стороны;Бизнес;https://www.mann-ivanov-ferber.ru/books/vydayushiysya_lider/?buytab=paperbook;750,00;15%;т ты меня;50%;375,00;0,00;637,5;
00000015275;0;Китайское исследование: обновленное и расширенное издание;Колин Кэмпбелл, Томас Кэмпбелл;978-5-00100-976-4;1,00;;Здоровый образ жизни;https://www.mann-ivanov-ferber.ru/books/kitajskoe-issledovanie-obnovlennoe-i-rasshirennoe-izdanie/?buytab=paperbook;1120,00;30%;т ты меня;50%;560,00;0,00;784;
00000015417;0;Как работает тело;Dorling Kindersley (DK);978-5-00100-980-1;0,93;;Детские книги;https://www.mann-ivanov-ferber.ru/books/kak-rabotaet-telo/?buytab=paperbook;1400,00;30%;т ты меня;50%;700,00;0,00;980;
00000015680;0;Ботаника для художника;Сара Симблет;978-5-00100-919-1;1,52;Полное руководство по рисованию растений;Творчество;https://www.mann-ivanov-ferber.ru/books/botanika-dlya-xudozhnika/?buytab=paperbook;2200,00;15%;т ты меня;50%;1100,00;0,00;1870;
00000015458;0;Максимально полезный ежедневник;Игорь Манн, Ренат Шагабутдинов;978-5-00100-977-1;0,61;Экономьте время, деньги и силы;Бизнес;https://www.mann-ivanov-ferber.ru/books/maksimalno-poleznyij-ezhednevnik/?buytab=paperbook;700,00;15%;т ты меня;50%;350,00;0,00;595;
00000015398;0;Kumon. Единицы измерения и геометрия. Уровень 1;;978-5-00100-793-7;0,32;;Детские книги;https://www.mann-ivanov-ferber.ru/books/kumon-ediniczyi-izmereniya-i-geometriya-uroven-1/?buytab=paperbook;450,00;15%;т ты меня;50%;225,00;0,00;382,5;
00000015400;0;Kumon. Единицы измерения и геометрия. Уровень 3;;978-5-00100-799-9;0,32;;Детские книги;https://www.mann-ivanov-ferber.ru/books/children/2017/kumon._ediniczyi_izmereniya_i_geometriya._uroven_3/?buytab=paperbook;450,00;15%;т ты меня;50%;225,00;0,00;382,5;
00000015399;0;Kumon. Единицы измерения и геометрия. Уровень 2;;978-5-00100-794-4;0,32;;Детские книги;https://www.mann-ivanov-ferber.ru/books/kumon-ediniczyi-izmereniya-i-geometriya-uroven-2/?buytab=paperbook;450,00;15%;т ты меня;50%;225,00;0,00;382,5;
00000015459;0;Космос. Agile-ежедневник для личного развития;Катерина Ленгольд;978-5-00100-995-5;0,33;;Cаморазвитие;https://www.mann-ivanov-ferber.ru/books/kosmos-ezhednevnik/?buytab=paperbook;735,00;30%;т ты меня;50%;367,50;0,00;514,5;
00000015466;0;Эмоциональный интеллект для менеджеров проектов;Энтони Мерсино;978-5-00117-021-1;0,69;Практическое руководство;Бизнес;https://www.mann-ivanov-ferber.ru/books/emoczionalnyij-intellekt-dlya-menedzhera-proektov/?buytab=paperbook;1135,00;30%;т ты меня;50%;567,50;0,00;794,5;
00000015279;0;Шахматы с енотом. Рабочая тетрадь № 2;Екатерина Волкова, Екатерина Прудникова;978-5-00100-983-2;0,62;;Детские книги;https://www.mann-ivanov-ferber.ru/books/shaxmatyi_s_enotom/?buytab=paperbook;660,00;30%;т ты меня;50%;330,00;0,00;462;
00000014184;0;Все на борт «Дискавери-Экспресса»;Эмили Хокинс, Том Адамс, Том Клохоши-Коул;978-5-00100-762-3;0,76;Научно-исследовательская экспедиция сквозь время;Детские книги;https://www.mann-ivanov-ferber.ru/books/vse-na-bort-diskaveri-ekspressa/?buytab=paperbook;1600,00;30%;т ты меня;50%;800,00;0,00;1120;
00000014488;0;Анатомия;Элен Дрювер;978-5-00100-798-2;0,90;;Детские книги;https://www.mann-ivanov-ferber.ru/books/anatomiya/?buytab=paperbook;2130,00;30%;т ты меня;50%;1065,00;0,00;1491;
00000015401;0;Начинай с малого;Оуэйн Сервис, Рори Галлахер;978-5-00100-994-8;0,34;Научно доказанная система достижения больших целей;Cаморазвитие;https://www.mann-ivanov-ferber.ru/books/nachinaj-s-malogo/?buytab=paperbook;800,00;30%;т ты меня;50%;400,00;0,00;560;
00000015679;0;Дневники Вишенки. Таинственная книга. Том 2;Жорис Шамблен, Орели Нейре;978-5-00117-004-4;0,54;;Комиксы;https://www.mann-ivanov-ferber.ru/books/dnevniki-vishenki-tainstvennaya-kniga/?buytab=paperbook;800,00;30%;т ты меня;50%;400,00;0,00;560;
00000015278;0;Знать или уметь?;Роберта Михник Голинкофф, Кэти Хирш-Пасек;978-5-00100-981-8;0,53;6 ключевых навыков современного ребенка;Детские книги;https://www.mann-ivanov-ferber.ru/books/znat-ili-umet/?buytab=paperbook;935,00;30%;т ты меня;50%;467,50;0,00;654,5;
00000015460;0;Путеводитель по лжи;Дэниел Левитин;978-5-00100-840-8;0,56;Критическое мышление в эпоху постправды;Научпоп;https://www.mann-ivanov-ferber.ru/books/putevoditel-po-lzhi/?buytab=paperbook;845,00;30%;т ты меня;50%;422,50;0,00;591,5;
00000014226;0;Сбежавший зоопарк;Ло Коул;978-5-00100-763-0;0,41;Где прячутся животные?;Детские книги;https://www.mann-ivanov-ferber.ru/books/sbezhavshij-zoopark/?buytab=paperbook;690,00;15%;т ты меня;50%;345,00;0,00;586,5;
00000015676;0;Хаос;Тим Харфорд;978-5-00117-005-1;0,46;Как беспорядок меняет нашу жизнь к лучшему;Cаморазвитие;https://www.mann-ivanov-ferber.ru/books/xaos/?buytab=paperbook;735,00;30%;т ты меня;50%;367,50;0,00;514,5;
00000015678;0;Что я хочу тебе сказать;Адам Куртц;978-5-00100-916-0;0,14;30 открыток (и стикеры!);Творчество;https://www.mann-ivanov-ferber.ru/books/chto-ya-xochu-tebe-skazat/?buytab=paperbook;535,00;30%;т ты меня;50%;267,50;0,00;374,5;
00000015216;0;Звездный замок. 1869: покорение космоса. Том 2;Алекс Алис;978-5-00100-942-9;0,63;;Комиксы;https://www.mann-ivanov-ferber.ru/books/zvezdnyij-zamok-1869-pokorenie-kosmosa-tom-2/?buytab=paperbook;845,00;30%;т ты меня;50%;422,50;0,00;591,5;
00000015569;0;Школа Музыки;Майриг и Рейчел Боуэн, Дэниел Фрост;978-5-00100-989-4;0,88;;Детские книги;https://www.mann-ivanov-ferber.ru/books/shkola-muzyiki/?buytab=paperbook;980,00;30%;т ты меня;50%;490,00;0,00;686;
00000014762;0;Найди меня! Животные;Ален Буайе;978-5-00100-800-2;0,18;;Детские книги;https://www.mann-ivanov-ferber.ru/books/najdi-menya-zhivotnye/?buytab=paperbook;560,00;30%;т ты меня;50%;280,00;0,00;392;
00000015634;0;Думай 2;Наташа Буцик, Валентин Буцик, Грегор Буцик;978-5-00100-990-0;0,49;Сборник головоломок для развития мышления;Детские книги;https://www.mann-ivanov-ferber.ru/books/dumaj-2/?buytab=paperbook;590,00;30%;т ты меня;50%;295,00;0,00;413;
00000015252;0;Как научить ребенка учиться;Кэрол Вордерман;978-5-00100-935-1;0,65;;Детские книги;https://www.mann-ivanov-ferber.ru/books/kak-nauchit-rebenka-uchitsya/?buytab=paperbook;1280,00;30%;т ты меня;50%;640,00;0,00;896;
00000015277;0;Чудесные сечения;Стивен Бисти;978-5-00100-979-5;0,57;;Детские книги;https://www.mann-ivanov-ferber.ru/books/chudesnyie-secheniya/?buytab=paperbook;1015,00;30%;т ты меня;50%;507,50;0,00;710,5;
00000015112;0;Как устроено кино;Эдвард Росс;978-5-00100-930-6;0,58;Теория и история кинематографа;Комиксы;https://www.mann-ivanov-ferber.ru/books/kak-ustroeno-kino/?buytab=paperbook;910,00;30%;т ты меня;50%;455,00;0,00;637;
00000011629;0;Больше чем бизнес;Олег Бармин, Лада Мазохина;978-5-00100-934-4;0,83;Как построить компанию, попасть в тюрьму, выбраться из нее и открыть новое дело;Бизнес;https://www.mann-ivanov-ferber.ru/books/ya-pomnyu-vseh-kto-mne-kogda-to-ne-perezvonil/?buytab=paperbook;845,00;30%;т ты меня;50%;422,50;0,00;591,5;
00000015402;0;Скетчбук МИФ. Красный;Ирина Сарт;978-5-00117-000-6;0,31;;Творчество;https://www.mann-ivanov-ferber.ru/books/sketchbuk-mif/?buytab=paperbook;950,00;30%;т ты меня;50%;475,00;0,00;665;
00000014891;0;Учимся играя;Аманда Боярщинов, Ким Вий;978-5-00100-869-9;0,66;100 развивающих игр для детей от 4 до 8 лет;Детские книги;https://www.mann-ivanov-ferber.ru/books/uchimsya-igraya/?buytab=paperbook;800,00;30%;т ты меня;50%;400,00;0,00;560;
00000014235;0;Однажды в тёмном лесу;;978-5-00100-764-7;0,63;Игра для всей семьи;Детские книги;https://www.mann-ivanov-ferber.ru/books/odnazhdyi-v-tyomnom-lesu/?buytab=paperbook;1385,00;30%;т ты меня;50%;692,50;0,00;969,5;
00000015255;0;Заряжен на 100%;Ренат Шагабутдинов, Эдуард Безуглов;978-5-00100-904-7;0,53;Энергия. Здоровье. Спорт;Здоровый образ жизни;https://www.mann-ivanov-ferber.ru/books/zaryazhen-na-100/?buytab=paperbook;745,00;30%;т ты меня;50%;372,50;0,00;521,5;
00000015633;0;Акварельный скетчинг;Феликс Шайнбергер;978-5-00100-950-4;0,71;Как рисовать и рассказывать истории в цвете;Творчество;https://www.mann-ivanov-ferber.ru/books/akvarelnyij-sketching/?buytab=paperbook;1015,00;30%;т ты меня;50%;507,50;0,00;710,5;
00000015627;0;Детектив Пьер распутывает дело. Погоня в Башне лабиринтов;Хиро Камигаки и IC4DESIGN;978-5-00100-944-3;0,64;;Детские книги;https://www.mann-ivanov-ferber.ru/books/detektiv-per-i-zagadka-imperskoj-bashni/?buytab=paperbook;695,00;30%;т ты меня;50%;347,50;0,00;486,5;
00000015570;0;Невероятные приключения Лавлейс и Бэббиджа;Сидни Падуа;978-5-00100-943-6;0,81;(Почти) правдивая история первого компьютера;Комиксы;https://www.mann-ivanov-ferber.ru/books/neveroyatnyie-priklyucheniya-lavlejs-i-bebbidzha/?buytab=paperbook;950,00;30%;т ты меня;50%;475,00;0,00;665;
00000015276;0;Коучинг agile-команд;Лисса Адкинс;978-5-00100-896-5;0,77;Руководство для scrum-мастеров, agile-коучей и руководителей проектов в переходный период;Бизнес;https://www.mann-ivanov-ferber.ru/books/kouching-agile-komand/?buytab=paperbook;1320,00;30%;т ты меня;50%;660,00;0,00;924;
