S_NUMBER;C_CODE;Location_DESC;Latitude;Longitude;ROAD1;ROAD2;DT;DT2;AI92;BN92;AI95;GPL;AI98
1;BY;Брестская обл., г. Брест, ул. Московская;52.1076;23.8006;;;1;0;1;0;1;1;1,,,,
1;BY;г.Могилев, пр-кт Димитрова;53.872944;30.372167;;;1;0;1;0;1;0;1,,,,,
1;BY;г. Витебск, Бешенковичское шоссе, 52;55.152046;30.127077;М-3;;1;0;1;1;1;1;0,,,,
1;BY;Пересвятовский Сельский Совет, 37;52.34;30.353889;;;1;0;1;0;0;1;0,,,,,
1;BY;г. Борисов, ул. Строителей,21а;54.206233;28.500883;;;1;0;1;0;1;0;0,,,,
1;BY;г. Минск, ул. Левкова, 37а;53.874166;27.555833;;;1;0;1;0;1;0;0,,,,
1;BY;г. Марьина Горка, ул. Октябрьская, 60;53.494176;28.157419;;;1;1;1;1;1;0;0,,,,
1;BY;г. Лида, пр-т Победы, 141;53.87371;25.316796;;;1;0;1;0;1;1;0,,,,
1;BY;г. Гродно, пр-т Космонавтов;53.673611;23.87;;;1;1;1;0;1;1;0,,,,,
10;BY;г. Брест, ул. Писателя Смирнова, д. 155А;52.12092;23.63305;;;1;0;1;0;1;0;0,,,,
10;BY;г. Белыничи, ул.Строителей;53.98425;29.708778;М-4;;1;0;1;0;1;1;0,,,,,
10;BY;пересечение а/д М-3 и Р-111;55.016815;29.439538;М-3;Р-111;1;0;1;0;0;0;0,,,,,,
10;BY;г. Минск, Некрасова, 112;53.939722;27.571389;;;1;0;1;0;1;0;1,,,,
10;BY;г. Гомель, Ильича, 292;52.348889;31.030833;М-8;;1;0;1;0;1;1;0,,,,
10;BY;М-1,443-й км,5,а/д Брест-Минск-граница РФ;54.268;28.69225;М-1;;1;0;1;0;1;0;1,,,
10;BY;Ивьевский р-н,Р-48,95км,1;54.012042;25.901757;Р-48;;1;0;1;0;1;0;0,,,
10;BY;г. Скидель;53.578888;24.238333;М-6;;1;1;1;0;1;0;0,,,,,,
11;BY;Брестская обл., г. Брест, пр-д Крепостной, 4;52.0752;23.6706;Р-17;;1;0;1;0;1;0;0,,,
11;BY;г. Дрибин;54.11625;31.128766;;;1;0;1;0;1;0;0,,,,,,
11;BY;Витебский р-н, М-8, 89 км, 2;55.1545;30.342583;М-8;;1;0;1;1;1;1;0,,,
11;BY;Паричский Поселковый Совет с/с, 3;52.820833;29.403889;Р-31;;1;0;1;0;1;0;0,,,,,
11;BY;г. Мядель, ул. Интернациональная, 8;54.883206;26.938655;Р-28;;1;0;1;0;1;0;0,,,,
11;BY;г. Минск, Маяковского, 2а;53.887222;27.563888;;;1;0;1;0;1;0;0,,,,
11;BY;г. Новогрудок, ул. Минская, 87;53.598333;25.847778;;;1;1;1;0;1;1;0,,,,
12;BY;Брестская обл., Каменецкий р-н, Р-16, 36-й км,2, севернее г. Высокое;52.3825;23.3717;Р-16;;1;0;1;0;1;0;0,
12;BY;г.п. Октябрьский, ул.Бумажкова, 28а;52.648611;28.878611;Р-34;;1;0;1;0;1;0;0,,,,
12;BY;г. Вилейка, пер.Гидростроителей 5;54.510676;26.958977;Р-63;;1;0;1;0;1;0;0,,,,,
12;BY;г. Гродно, ул. Пушкина, 35А;53.697222;23.831667;;;1;0;1;0;1;0;0,,,,
12;BY;г. Минск, Долгиновский тракт, 172;53.960556;27.537222;Р-58;;1;0;1;0;1;1;0,,,,
12;BY;Гродненская обл., Вороновский р-н М-11,4 км (2);54.236111;25.355;М-11;;1;0;1;0;1;0;0,,,,
12;BY;Могилевский р-н, Полыковичский с/с 6;53.969611;30.350806;;;1;0;1;0;1;0;0,,,,,
13;BY;Брестская обл., Брестский р-н, г.п. Домачево, ул. Комсомольская, 51;51.7406;23.6058;;;1;0;1;0;0;0;0,,
13;BY;г.п. Езерище, ул. Ленинская;55.84467;29.972797;М-8;;1;0;1;1;1;0;0,,,,,
13;BY;трасса Р-23, 183-й. км., 1;52.3475;27.452222;Р-23;;1;0;1;0;1;0;0,,,,
13;BY;г. Вилейка, ул. 1 Мая, 92;54.488694;26.88747;Р-28;;1;0;1;0;0;0;0,,,,
13;BY;г.Минск ул. Уборевича, 105;53.833889;27.602777;М-9;;1;0;1;0;1;1;0,,,,,
13;BY;г.п. Острино;53.739444;24.534166;Р-51;;1;0;1;0;1;1;0,,,,,,
13;BY;г.п. Радунь;54.058611;25.016791;Р-135;Р-145;1;0;1;0;0;0;0,,,,,,
14;BY;Чирковичский с-с., 8;52.662544;29.625556;Р-82;Р-149;1;0;1;0;1;0;0,,,,,
14;BY;878 км автодорога Санкт-Петербург-Одесса;54.218889;30.451056;М-8;;1;0;1;0;1;0;0,,,,,,
14;BY;г. Витебск, ул. Титова, 160;55.193055;30.140833;Р-20;;1;1;1;1;1;1;0,,,,
14;BY;Вилейский р-н, Осиповичский с/с, 5;54.460215;26.865091;Р-28;;1;0;1;0;1;0;0,,,,
14;BY;а/д Брест-граница РФ 346 км. (лево);53.723726;27.504024;М-1;;1;0;1;0;1;1;0,,,,,,
14;BY;Брестская обл., г. Брест, ул. Коммерческая, 2;52.1174;23.7714;;;1;0;1;0;1;0;0,,,
14;BY;Республика Беларусь, Гродненская обл., Гродненский р-н, Путришковский с/с,8, МАЗС-14  в р-не д. Большая Каплица;53.690833;23.889444;Р-145;;1;1;1;0;1;1;0,
14;BY;д. Белица;53.648611;25.310833;;;1;0;1;0;1;0;0,,,,,,
15;BY;Брестская обл., г. Брест, ул. Московская, 335;52.1037;23.7898;;;1;0;1;0;1;0;0,,,
15;BY;г. Гомель, ул. Федюнинского, 19В;52.486316;30.996427;;;1;0;0;1;1;1;0,,,,
15;BY;Быховский р-н, д. Воронино;53.525444;30.341389;М-8;;1;0;1;0;1;1;0,,,,,
15;BY;Вилейский р-н, Ильянский с/с, 16;54.412952;27.276128;Р-58;;1;0;1;0;0;0;0,,,,
15;BY;г.п. Сураж, ул. Витебская, 41;55.401867;30.708844;Р-122;;1;0;1;0;0;0;0,,,,
15;BY;г. Минск, ул. Железнодорожная, 21;53.875833;27.506111;;;1;0;1;0;1;0;1,,,,
15;BY;г.п. Новоельня, ул.Дятловская, д. 2/1;53.465883;25.580444;;;1;0;1;0;1;0;0,,,,
